state,name,category,total_liabilities,bonds_outstanding,compensated_absences,leases,loans_outstanding,notes_outstanding,pension_debt,opeb_debt,total_revenues,charges_for_services,operating_grants,capital_grants,general_revenue,total_operating_revenues,non_operating_revenues,capital_contributions
IN,Indiana Bond Bank,Special District,899817862,851986930,0,0,0,0,395273,0,33240329,0,0,0,0,32885499,354830,0
TN,Carroll County Watershed Authority,Special District,10998058,10990254,0,0,0,0,0,0,434197,0,0,0,434197,0,0,0
MI,Karegnondi Water Authority,Special District,330914895,292740549,0,37558648,0,0,0,0,25157885,0,0,0,0,2242678,22915207,0
MI,Detroit City School District,School District,2022392486,1384887428,0,0,397849034,103710000,0,0,176048439,0,17013829,0,159034610,0,0,0
MI,Gogebic Range Water Authority,Special District,13441334,13212000,0,0,0,0,0,0,994851,0,0,0,0,992156,2695,0
MI,Grand Rapids City Building Authority,Special District,41232591,40783912,0,0,0,0,0,0,1667856,0,0,0,1667856,0,0,0
MI,City of Marquette Brownfield Redevelopment Authority,Special District,65084744,33612545,0,0,0,0,0,0,4054122,0,0,0,4054122,0,0,0
MI,City of Grand Rapids-Kent County Joint Building Authority,Special District,81686758,81678924,0,0,0,0,0,0,7757250,0,0,0,0,0,7757250,0
MI,City of Lansing Building Authority,Special District,25807616,23026648,0,0,0,0,0,0,1315161,0,0,0,0,1315161,0,0
MI,Flint City Economic Development Corportion,Special District,7666290,7585000,0,0,0,0,0,0,755070,533875,10026,0,211169,0,0,0
MI,Forester Township,General Purpose,9064113,0,0,0,5201476,0,0,0,652189,440096,0,0,212093,0,0,0
MI,School District of the City of Inkster,School District,40948962,5534000,0,0,35372282,0,0,0,1783662,0,0,0,1783662,0,0,0
MI,Muskegon Heights School District,School District,37229371,17681234,0,0,0,18751317,136503,49740,2985317,154615,0,0,2830702,0,0,0
MI,Lansing Tax Increment Finance Authority,Special District,45848601,27533577,0,18056287,0,0,0,0,3514492,0,0,0,3514492,0,0,0
TN,Sequatchie / Bledsoe County Landfill,Special District,378927,0,0,0,0,0,0,0,38684,0,0,0,38684,0,0,0
MI,West Branch Area Wastewater Treatment Plant Authority,Special District,10246336,10225034,0,0,0,0,0,0,280241,0,0,0,0,20000,260241,0
TN,Judge O.K. Holliday Homes L.P.,Special District,1470775,0,0,0,0,1459070,0,0,148487,0,0,0,0,148412,75,0
ND,North Dakota Public Finance Authority,Special District,495305000,490547000,0,0,0,0,431000,0,47907000,0,0,0,0,26250000,21657000,0
IL,Newark Sanitary District,Special District,2741142,0,0,0,2741142,0,0,0,196361,0,0,0,0,165761,30600,0
OK,Oklahoma Capitol Improvement Authority,Special District,1429526810,1400150625,0,0,0,0,0,0,63861240,0,0,0,0,56272005,7589235,0
MD,East New Market,General Purpose,2321747,0,0,0,1830980,0,0,0,226371,0,0,0,113146,113146,79,0
IA,Tobacco Settlement Authority,Special District,751433035,748135062,0,0,0,0,0,0,2882887,0,0,0,2882887,0,0,0
NE,Douglas SID 512 County,Special District,2952446,2930000,0,0,0,0,0,0,175796,0,0,0,175796,0,0,0
NE,Sarpy SID 297 County,Special District,6689323,6480000,0,0,0,0,0,0,358102,0,0,0,358102,0,0,0
NE,Douglas SID 499 County,Special District,8714581,8490000,0,0,0,0,0,0,859362,0,0,0,859362,0,0,0
MI,New Buffalo Library Joint Building Authority,Special District,4179671,4157834,0,0,0,0,0,0,300483,0,0,0,300483,0,0,0
NE,Sarpy SID 310 County,Special District,3369684,0,0,0,0,0,0,0,231707,0,0,0,231707,0,0,0
NE,Sanitary and Improvement District No. 337 of  Sarpy County,Special District,8631220,0,0,0,0,0,0,0,5839,0,0,0,5839,0,0,0
NE,Sanitary and Improvement District No. 595 of  Douglas County,Special District,9541567,0,0,0,0,0,0,0,4597,0,0,0,4597,0,0,0
KY,Logan Todd Regional Water Commission,Special District,72834148,64915410,0,0,0,4930925,1332692,318630,7592205,0,0,0,0,7352270,239935,0
TX,Brazoria County Toll Road Authority,Special District,122636271,90390542,0,0,0,0,0,0,8086685,0,0,0,0,162177,352027,7572481
CT,Connecticut Housing Finance Authority,Special District,5443998000,4899707000,0,0,0,0,70480000,82371000,337744000,0,0,0,0,215082000,122662000,0
MI,City of Detroit Water and Sewerage Department,Special District,1283830776,1032613818,5002234,0,26503010,0,57200183,31606,137494734,0,0,0,0,114833467,22661267,0
MI,Greater Wayne County Economic Development Corporation,Special District,29544,0,0,0,0,0,0,0,619,0,0,0,619,0,0,0
LA,Nineteenth Judicial District Court Building Commission,Special District,94271326,93883236,0,0,0,0,0,0,7679906,7227547,22884,0,429475,0,0,0
MI,Wayne County Building Authority,Special District,196179319,189043355,0,0,0,0,0,0,18613426,18603530,0,0,9896,0,0,0
NE,Nebraska Cooperative Republican Platte Enhancement,Special District,88318259,88183420,0,0,0,0,0,0,8958948,977514,4066434,0,3915000,0,0,0
OR,Independence Urban Renewal Agency,Special District,21827389,12543486,0,0,0,8353170,0,0,1030040,0,429925,0,600115,0,0,0
NY,Village of Groton Housing Authority,Special District,3764963,0,0,0,3626707,0,21873,0,321222,0,0,0,0,321222,0,0
KY,Locust Ridge Apartments,Special District,736322,730700,0,0,0,0,0,0,67422,0,0,0,67422,0,0,0
MI,Washtenaw County Building Authority,Special District,426646,0,0,0,0,0,0,0,29162,0,29162,0,0,0,0,0
MI,Washtenaw County Dept of Public Works Authority,Special District,8463965,8385994,0,0,0,0,0,0,11848,0,0,0,11848,0,0,0
TN,Loudon County Solid Waste Disposal Commission,Special District,6855473,0,0,0,0,0,0,0,423177,0,0,0,0,323880,99297,0
TN,Sports Authority of the County of Wilson,Special District,13444423,13400000,0,0,0,0,0,0,960784,4500,0,0,956284,0,0,0
OK,Sperry Economic Development Authority,Special District,28399,0,0,0,0,28399,0,0,2825,0,0,0,0,2825,0,0
MN,Applewood Pointe Cooperative of Eagan,Special District,22921448,0,0,0,22443300,0,0,0,2369291,0,0,0,0,2369291,0,0
OH,The River South Authority,Special District,59937177,59734336,0,0,0,0,0,0,2254118,0,0,0,0,2234107,20011,0
OH,Ohio Water Development Authority,Special District,5439888401,5293829688,289535,0,0,0,1474322,1152246,344009735,0,0,0,0,214300693,14002,129695040
NE,Sanitary and Improvement District No.594,Special District,3829481,0,0,0,0,0,0,0,7017,0,0,0,7017,0,0,0
LA,East Columbia Waterworks District,Special District,4252831,2889792,0,0,1046418,0,0,0,408388,0,0,0,0,403766,4622,0
NE,Sanitary and Improvement District No. 339 of Sarpy County,Special District,1925574,0,0,0,0,0,0,0,2834,0,0,0,2834,0,0,0
NE,Sanitary and Improvement District No.593,Special District,6816488,0,0,0,0,0,0,0,2887,0,0,0,2887,0,0,0
NE,Sanitary and Improvement District No.598 of Douglas County,Special District,6410085,0,0,0,0,0,0,0,36677,0,0,0,36677,0,0,0
NE,Sanitary and Improvement District No.1,Special District,960214,0,0,0,720581,0,0,0,69211,0,0,0,69211,0,0,0
NE,Sanitary and Improvement District No. 599 of Douglas County,Special District,3198611,0,0,0,0,0,0,0,895,0,0,0,895,0,0,0
CT,Bolton Lakes Regional Water Pollution Control Authority,Special District,7027071,6986060,0,0,0,0,0,0,608354,0,0,0,0,260010,1298,347046
MO,University of Central Missouri,Public Higher Education,260207287,61066158,4048018,15596380,0,2440012,145766631,4163736,9044387,0,0,0,9044387,0,0,0
DC,Building Hope Finance Formerly Building Hope... A Charter School Fac,Charter School,75049400,0,0,0,0,74772941,0,0,6742894,0,0,0,6742894,0,0,0
MD,Charter Schools Development Corporation,Charter School,185556413,0,0,5589341,3352645,167977223,0,0,18767416,0,0,0,18767416,0,0,0
VT,Vermont Economic Development Authority,Special District,256287000,0,0,0,96500000,157768000,0,0,16639000,0,0,0,0,16629000,10000,0
LA,Caldwell Parish Waterworks District - East Columbia,Special District,4252831,0,0,0,1046418,2889792,0,0,408388,0,0,0,0,403766,4622,0
PA,Williamsburg Municipal Authority,Special District,11073171,0,0,0,11001747,0,0,0,1048621,0,0,0,0,1043566,5055,0
LA,Richland Parish Fire Protection District Ward 1,Special District,9549011,0,0,0,3065210,0,0,0,604850,584425,0,0,20425,0,0,0
