"state","name","category","total_liabilities","bonds_outstanding","compensated_absences","leases","loans_outstanding","net_pension_liability","net_opeb_liability"
"TX","Wimberley","General Purpose",5903628,4940000,12982,0,0,62960,25752
"TX","Williamson County","General Purpose",1352794743,1139091150,6093347,0,0,55619549,59226881
"VA","Dumfries","General Purpose",11566502,9180233,101099,108188,0,236921,389188
"UT","South Jordan","General Purpose",117173984,90035463,2738378,0,0,6976911,0
"SD","Aberdeen","General Purpose",50334771,46855284,1019623,0,0,0,0
"WI","Antigo","General Purpose",14283861,7415588,864099,0,0,0,338854
"OH","Seneca County","General Purpose",60011448,11418378,2391064,0,419365,26000185,17068937
"CA","Santa Barbara Community College District","Community College District",243823578,65744223,2222754,0,837846,110959140,8025324
"NY","Nassau Community College","Community College District",625378359,0,53992035,0,0,34977027,484954000
"VT","Milton","General Purpose",15706858,10091973,163767,0,0,1802380,0
"AR","Pine Bluff","General Purpose",45733470,33641099,4222331,726450,0,18867198,0
"TX","Washington County","General Purpose",11835990,2022443,375569,0,0,2907858,4171354
"UT","Woodland Hills","General Purpose",3463209,2514000,0,0,0,101233,0
"CA","Miracosta Community College District","Community College District",236530297,78625971,2890666,0,0,132626131,0
"VA","Fairfax","General Purpose",269325582,133516832,3018242,3461075,0,72288311,19343394
"WI","Muscoda","General Purpose",1597665,415000,27417,0,0,0,102418
"WI","Plover","General Purpose",29460649,9168677,823190,27016,7695723,0,366098
"NY","Village of Ballston Spa Public Housing Agency","Special District",57464,0,0,0,0,0,0
"CA","Victor Valley Community College District","Community College District",308000404,207171701,1968522,3695035,0,72156557,846517
"NE","Western Community College Area","Community College District",14234600,4002773,0,7199316,0,0,0
"OH","North Dayton School of Discovery","Charter School",2853529,0,0,0,0,2468865,236941
"AZ","Tohono O'odham Community College","Community College District",1988487,0,0,0,0,0,0
"NJ","Warren County Community College","Community College District",5701389,0,287560,0,0,3196980,0
"WI","Jefferson County","General Purpose",40983642,21047924,5180225,0,0,0,5860836
"RI","Town of Narragansett Housing Authority","Special District",117653,0,27035,0,0,0,0
"WI","Brookfield","General Purpose",128296826,99823857,4560735,0,0,0,11659447
"CA","Barstow Community College District","Community College District",27368267,0,680824,0,0,21910836,0
"VA","Manassas Park","General Purpose",112670930,90721644,1248008,898420,7255000,3338071,3745481
"NY","Fulton-Montgomery Community College","Community College District",17116876,0,392522,147983,0,3154228,11348100
"WY","Uinta County","General Purpose",17316368,0,820715,12879,0,6407119,0
"WI","Hayward","General Purpose",1953989,0,103406,0,807500,0,0
"AL","Talladega County Board of Education","School District",166231606,0,456693,812396,0,61405000,28921850
"AL","Muscle Shoals City Board of Education","School District",52439591,10826836,0,857847,0,28643000,9605882
"NY","Portland","General Purpose",3423709,2033400,134447,0,0,431900,0
"WY","Natrona County","General Purpose",20783393,0,1221547,0,0,14831253,0
"WI","Superior","General Purpose",73709225,43633818,2197703,932813,2280742,0,7738973
"WV","Middlebourne","General Purpose",2684942,2466102,0,19988,0,41078,89894
"WY","Albany County","General Purpose",10653066,1550000,253944,0,0,7587360,0
"AL","Talladega City Board of Education","School District",30253205,0,146109,0,2368605,17475000,7874785
"WI","Walworth County","General Purpose",16007809,0,3054335,0,0,0,0
"AL","Haleyville City Board of Education","School District",31644739,0,0,110136,0,14356000,6354699
"KS","Coffeyville Community College","Community College District",20754509,12955000,406965,5386312,0,0,944286
"VA","King William County","General Purpose",32764207,26570497,456719,1485000,0,1292789,524947
"AZ","Fort Huachuca Accommodation School District No. 00","School District",9057920,0,224686,0,0,8269426,0
"TX","Crystal Clear Special Utility District","Special District",31468104,17011000,39722,0,0,0,0
"UT","North Summit Fire Protection District","Special District",29305,0,0,0,0,0,0
"SC","Housing Authority of Lake City","Special District",2430393,0,88611,0,0,1899263,0
"TN","Electric Power Board of the Metropolitan Government of Nashville & Davidson County","Special District",1170651000,554063000,0,0,0,209700000,191048000
"NJ","Brookdale Community College","Community College District",82999651,36641182,0,0,0,31822633,0
"TN","Hawkins County Emergency Communications District","Special District",358185,0,15975,0,0,0,0
"PA","Housing Authority of the City of Meadville","Special District",293909,0,51190,0,0,0,0
"SC","Spartanburg Regional Health Services District Inc","Special District",1412419,523087000,0,0,0,597807,0
"TN","Industrial Development Board of the Counties of Cumberland Morgan & Roane ...","Special District",7615900,0,0,0,7554846,0,0
"PA","Housing Authority of the County of Cumberland","Special District",1416622,0,24199,909908,0,0,0
"TN","Jackson-Madison County Airport Authority","Special District",350663,0,56047,0,0,0,97030
"TN","Industrial Development Board of Blount County and the Cities of Alcoa and Maryville","Special District",33348851,0,0,311998,0,0,0
"TN","Industrial Development Board of the City of Sevierville","Special District",1566720,1535498,0,0,0,0,0
"TN","Paris Housing Authority","Special District",74660,0,21529,0,0,0,0
"TN","North Utility District of Decatur and Benton Counties","Special District",1446100,1400000,0,0,0,0,0
"UT","Mountain Green Sewer Improvement District","Special District",200577,0,0,0,0,15015,0
"UT","San Juan Mental Health   Substance Abuse Special Service District","Special District",1773030,0,134448,856640,0,264815,0
"UT","Washington County Flood Control Authority","Special District",52063,0,0,0,0,0,0
"VA","Marion Redevelopment and Housing Authority","Special District",770014,0,31256,0,640423,0,0
"AL","Lurleen B. Wallace Community College","Community College District",23107707,1225000,547731,2573425,0,12587007,3812608
"FL","Hillsborough Community College","Community College District",92735212,0,4137304,0,0,62380409,1647502
