"abbreviation","name","category","population"
"MO","Wentzville","General Purpose",39414
"MO","Iron Mountain Lake","General Purpose",750
"ID","Minidoka County","General Purpose",20729
"MS","Columbus","General Purpose",24041
"MO","Arrow Rock","General Purpose",56
"NY","Montgomery","General Purpose",23959
"MO","Deerfield","General Purpose",78
"MO","Grant","General Purpose",811
"NY","Dobbs Ferry","General Purpose",11147
"NJ","East Orange","General Purpose",65378
"AL","Helena","General Purpose",19072
"PA","Sharon","General Purpose",13259
"NY","Lynbrook","General Purpose",19716
"MO","Cockrell Township","General Purpose",167
"IL","Tolono","General Purpose",3449
"MN","Spring Park","General Purpose",1799
"MO","Dardenne Prairie","General Purpose",13310
"IN","Parke County","General Purpose",16886
"OH","Garfield Heights","General Purpose",27835
"TX","Calhoun County","General Purpose",13946
"NY","Pelham","General Purpose",12659
"AL","Leeds","General Purpose",12031
"NY","Putnam Valley","General Purpose",11663
"TX","Ochiltree County","General Purpose",10073
"NJ","Branchville","General Purpose",783
"MA","Leominster","General Purpose",41615
"PA","Lower Salford Township","General Purpose",15381
"GA","Dade County","General Purpose",16285
"NJ","Morris Township","General Purpose",22489
"NJ","Cliffside Park","General Purpose",25142
"KY","Lexington","General Purpose",321959
"MD","Bel Air","General Purpose",10037
"NY","Aurora","General Purpose",13888
"WY","Laramie","General Purpose",32306
"CO","Johnstown","General Purpose",15478
"MD","New Carrollton","General Purpose",13023
"MS","Laurel","General Purpose",18493
"NY","Cohoes","General Purpose",16875
"IN","Crown Point","General Purpose",29625
"NY","Cornwall","General Purpose",12508
"MO","Deerfield Township","General Purpose",878
"NH","Berlin","General Purpose",10225
"MO","Jennings","General Purpose",14674
"OK","Carter","General Purpose",241
"MT","Beaverhead County","General Purpose",9434
"NY","Scotia","General Purpose",7707
"OK","Buffalo","General Purpose",1329
"VA","Norfolk","General Purpose",244703
"MT","Powder River County","General Purpose",1752
"MT","Harlem","General Purpose",840
"IA","Britt","General Purpose",1985
"OK","Springer","General Purpose",694
"IA","Akron","General Purpose",1461
"MT","Forsyth","General Purpose",1860
"IA","Algona","General Purpose",5468
"IA","Allamakee County","General Purpose",13884
"PA","Warminster Township","General Purpose",32430
"PA","West Lampeter Township","General Purpose",15978
"MO","Cole County","General Purpose",76708
"IA","Clarion","General Purpose",2769
"CA","National City","General Purpose",61363
"NE","Hooker County","General Purpose",674
"IA","Bellevue","General Purpose",2175
"IA","Bloomfield","General Purpose",2676
"IA","Arnolds Park","General Purpose",1287
"MO","Pulaski County","General Purpose",52059
"AR","Vilonia","General Purpose",4538
"NE","Lyons","General Purpose",805
"PA","State College","General Purpose",42430
"ND","Rolette County","General Purpose",14531
"IA","Guthrie Center","General Purpose",1503
"NJ","Springfield Township","General Purpose",17726
"IA","Eagle Grove","General Purpose",3428
"IA","Colo","General Purpose",844
"IA","Asbury","General Purpose",5586
"IA","Fairfax","General Purpose",2631
"GA","Hartwell","General Purpose",4469
"KS","Jefferson County","General Purpose",18998
"AR","Woodruff County","General Purpose",6571
"UT","Cache County","General Purpose",124438
"IA","Center Point","General Purpose",2551
"CA","Burbank","General Purpose",104834
"NE","Louisville","General Purpose",1261
"CT","Haddam","General Purpose",8264
"WI","Allouez","General Purpose",13886
"GA","Thomaston","General Purpose",8755
"PA","Erie","General Purpose",97369
"MN","Faribault County","General Purpose",13784
"NE","Schuyler","General Purpose",6212
"NY","Gloversville","General Purpose",14951
"PA","Pottsville","General Purpose",13625
"PA","Elizabethtown","General Purpose",11586
"IA","Indianola","General Purpose",15990
"PA","Plum","General Purpose",27258
"OH","Clarington","General Purpose",370
"PA","Connoquenessing Borough","General Purpose",685
"KS","Mcpherson","General Purpose",13201
"TN","Van Buren County","General Purpose",5742
"OK","Goodwell","General Purpose",1306
"UT","Marriott-Slaterville","General Purpose",1778
"KY","Bardstown","General Purpose",13165
"KY","Mount Washington","General Purpose",14554
"MO","Gladstone","General Purpose",27140
"NE","Indianola","General Purpose",552
"OR","Maupin","General Purpose",437
"ID","Mccall","General Purpose",3351
"NE","Yutan","General Purpose",1261
"NE","Swanton","General Purpose",93
"IA","Montgomery County","General Purpose",10137
"IA","New Hampton","General Purpose",3413
"MA","Acushnet","General Purpose",10477
"NE","Arlington","General Purpose",1281
"NE","Leicester Township","General Purpose",323
"PA","East Pittsburgh Borough","General Purpose",1775
"MO","O'fallon","General Purpose",87597
"VA","Herndon","General Purpose",24532
"NE","Spring Creek Township","General Purpose",15
"MT","Conrad","General Purpose",2494
"KS","Haysville","General Purpose",11278
"MT","Toole County","General Purpose",4886
"NE","Frankfort Township","General Purpose",77
"IL","Cook County","General Purpose",5211263
"MN","Aitkin County","General Purpose",15829
"TX","Corsicana","General Purpose",23683
"NE","Mariposa Township","General Purpose",396
"MS","Pontotoc County","General Purpose",31640
"MN","Wilkin County","General Purpose",6324
"NY","Endicott","General Purpose",12828
"MS","Yazoo County","General Purpose",27057
"OH","Wooster","General Purpose",26618
"FL","Liberty County","General Purpose",8242
"MS","Simpson County","General Purpose",26947
"MS","Rankin County","General Purpose",152080
"IN","Fayette County","General Purpose",23209
"IN","Monroe County","General Purpose",146986
"MO","De Soto","General Purpose",6381
"NY","Wappinger","General Purpose",26800
"NJ","Passaic County","General Purpose",512607
"FL","Punta Gorda","General Purpose",19761
"NH","Whitefield","General Purpose",2215
"IN","Stockton Township","General Purpose",8185
"MI","Burr Oak (Saint Joseph County)","General Purpose",811
"IN","Alamo","General Purpose",65
"MO","Warrensburg","General Purpose",20168
"NH","Exeter","General Purpose",15082
"NJ","Howell Township","General Purpose",52476
"NJ","Jackson Township","General Purpose",57073
"IN","Bristol","General Purpose",1683
"IN","Clarksville","General Purpose",21694
"IL","Willow Hill","General Purpose",227
"IN","Elkhart","Special District",52558
"IL","South Beloit","General Purpose",7673
"IA","Humboldt County","General Purpose",9564
"MO","Center Township","General Purpose",9345
"IN","Gaston","General Purpose",859
"NJ","Hunterdon County","General Purpose",125059
"AR","North Little Rock","General Purpose",65911
"NJ","Plainfield","General Purpose",51327
"IL","Roscoe","General Purpose",10505
"OH","Green Camp","General Purpose",355
"SD","Pennington County","General Purpose",110141
"WI","Cudahy","General Purpose",18282
"MI","Sheridan Township","General Purpose",1405
"IN","Princeton","General Purpose",8602
"TX","Dallas County","General Purpose",2618148
"NJ","Morris County","General Purpose",499693
"WV","Oak Hill","General Purpose",8338
"OH","Wayne","General Purpose",915
"OH","Wayne Township","General Purpose",4159
"MI","West Branch Township","General Purpose",2512
"IN","Troy","General Purpose",401
"IL","Antioch","General Purpose",14235
"UT","Morgan County","General Purpose",11873
"CA","Placer County","General Purpose",386166
"OH","Four County Board of Alcohol Drug Addiction","Special District",38156
"TX","Royse City","General Purpose",12567
"NJ","Sussex County","General Purpose",141682
"KS","Dodge","General Purpose",27720
"UT","Wayne County","General Purpose",2719
"NH","Northumberland","General Purpose",2133
"CA","Contra Costa County","General Purpose",1147439
"CA","San Benito County","General Purpose",60310
"OR","Wallowa County","General Purpose",7051
"WI","Sister Bay","General Purpose",915
"CA","Sutter County","Non-Profit",96648
"IL","Mt. Vernon","General Purpose",14956
"WI","Whitefish Bay","General Purpose",13950
"OH","Bainbridge Township","General Purpose",11466
"IL","Oakford","General Purpose",276
"CA","El Dorado County","General Purpose",188987
"ID","Owyhee County","General Purpose",11628
"NY","New York","General Purpose",8622698
"WA","Edmonds","General Purpose",42209
"IL","Forrest","General Purpose",1159
"TX","Carrollton","General Purpose",135710
"TN","Memphis","General Purpose",652236
"CA","Solano County","General Purpose",445458
"OK","Oklahoma City","General Purpose",643648
"IA","Carroll","General Purpose",20320
"OH","Bloomdale","General Purpose",683
"WA","Snohomish County","General Purpose",801633
"AK","Aleutians East Borough","General Purpose",3370
"CO","Thornton","General Purpose",136978
"CA","Placerville","General Purpose",10936
"OH","Butler Township","General Purpose",1179
"TX","Lubbock","General Purpose",253888
"CA","San Joaquin County","General Purpose",745424
"NC","Greenville","General Purpose",92156
"FL","Miami Beach","General Purpose",92307
"NC","Cary","General Purpose",165904
"NV","Reno","General Purpose",248853
"NY","Syracuse","General Purpose",143396
"MI","Ingham County","General Purpose",290186
"FL","Jupiter","General Purpose",64976
"WA","Olympia","General Purpose",51609
"IL","Palatine","General Purpose",68644
"FL","Clewiston","General Purpose",7720
"CT","West Haven","General Purpose",54843
"OH","Freeport Township","General Purpose",712
"NJ","Trenton","General Purpose",84964
"TN","Johnson City","General Purpose",66391
"AR","Jonesboro","General Purpose",75866
"NC","Rutherford County","General Purpose",66551
"TX","Tom Green County","General Purpose",118019
"NC","Pitt County","General Purpose",179042
"AR","Sherwood","General Purpose",31081
"UT","Layton","General Purpose",76691
"IA","Sac City","General Purpose",2098
"FL","Boynton Beach","General Purpose",77702
"NC","Gastonia","General Purpose",76593
"OH","Clark County","General Purpose",134557
"NJ","Deal Borough","General Purpose",733
"IL","Carlinville","General Purpose",5550
"CA","Mendocino County","General Purpose",88018
"FL","Walton County","General Purpose",68376
"NC","Robeson County","General Purpose",132606
"VA","Spotsylvania County","General Purpose",133033
"ID","Coeur D Alene","General Purpose",50665
"NE","Pawnee City","General Purpose",824
"LA","Bossier Parish","General Purpose",127634
"AR","Faulkner County","General Purpose",123654
"NJ","Rumson Borough","General Purpose",6864
"VT","Springfield","General Purpose",8924
"NJ","Gloucester Township","General Purpose",64159
"MO","Fenton","General Purpose",4030
"PA","Bensalem Township","General Purpose",60569
"PA","Clinton County","General Purpose",38998
"NJ","Perth Amboy","General Purpose",52823
"NY","Port Jefferson","General Purpose",7898
"IL","Prophetstown","General Purpose",1974
"NY","Port Washington North","General Purpose",3243
"NJ","Berkeley Heights Township","General Purpose",13759
"UT","Francis City","General Purpose",1452
"NY","Lloyd","General Purpose",10550
"NM","Grant County","General Purpose",27687
"CA","Calaveras County","General Purpose",45670
"NM","Lea County","General Purpose",68759
