state,acfrs_original_name,nces_original_name,gov_unit_original_name,name,ncesid,censusid,county_nces,city_nces,student
MI, Charlevoix Public Schools ,Charlevoix Public Schools,charlevoix public schools,charlevoix,2608730,23501500600000,Charlevoix County,CHARLEVOIX,846.00000
MI, Chelsea School District ,Chelsea School District,chelsea school district,chelsea,2608940,23508100600000,Washtenaw County,CHELSEA,2441.00000
MI, Chippewa Hills School District ,Chippewa Hills School District,chippewa hills sch dist,chippewa hills,2609560,23505403300000,Mecosta County,REMUS,1935.00000
MI, Church School District ,Church School District,church school district,church,2609630,23503201400000,Huron County,BAD AXE,16.00000
MI, Clare Public Schools ,Clare Public Schools,clare public schools,clare,2609750,23501800400000,Clare County,CLARE,1639.00000
MI, Clawson Public Schools ,Clawson Public Schools,clawson public schools,clawson,2609930,23506301100000,Oakland County,Clawson,1469.00000
MI, Clinton Community Schools ,Clinton Community Schools,clinton community schools,clinton community schools,2610050,23504601200000,Lenawee County,CLINTON,1240.00000
MI, Coleman Community Schools ,Coleman Community Schools,coleman community schools,coleman community schools,2610200,23505604900000,Midland County,COLEMAN,671.00000
MI, Colon Community School District ,Colon Community School District,colon community school district,colon,2610410,23507500400000,St. Joseph County,COLON,572.00000
MI, Columbia School District ,Columbia School District,columbia school district,columbia,2606990,23503800300000,Jackson County,BROOKLYN,1513.00000
MI, Comstock Park Public Schools ,Comstock Park Public Schools,comstock park sch dist,comstock park,2610620,23504109400000,Kent County,COMSTOCK PARK,1847.00000
MI, Comstock Public Schools ,Comstock Public Schools,comstock public school district,comstock,2610590,23503900700000,Kalamazoo County,KALAMAZOO,1753.00000
MI, Coopersville Area Public Schools ,Coopersville Area Public School District,coopersville area public school district,coopersville area,2610830,23507001000000,Ottawa County,COOPERSVILLE,2654.00000
MI, Corunna Public Schools ,Corunna Public Schools,corunna public schools,corunna,2610860,23507801400000,Shiawassee County,CORUNNA,1786.00000
MI, Covert Public Schools ,Covert Public Schools,covert public schools,covert,2610980,23508002800000,Van Buren County,COVERT,369.00000
MI, Crestwood School District ,Crestwood School District,crestwood sch dist,crestwood,2600016,23508201200000,Wayne County,DEARBORN HTS,3890.00000
MI, Dansville Schools ,Dansville Schools,dansville schools,dansville schools,2611400,23503301300000,Ingham County,DANSVILLE,746.00000
MI, Decatur Public Schools ,Decatur Public Schools,decatur public schools,decatur,2611670,23508002900000,Van Buren County,DECATUR,753.00000
MI, Deckerville Community School District ,Deckerville Community School District,deckerville comm sch dist,deckerville,2611700,23507601900000,Sanilac County,DECKERVILLE,584.00000
MI, Dewitt Public Schools ,DeWitt Public Schools,dewitt public schools,dewitt,2611550,23501902600000,Clinton County,DeWitt,3196.00000
MI, Dryden Community Schools ,Dryden Community Schools,dryden community schools,dryden community schools,2612240,23504402400000,Lapeer County,DRYDEN,414.00000
MI, East China School District ,East China School District,east china school district,east china,2612420,23507403300000,St. Clair County,EAST CHINA,3984.00000
MI, East Grand Rapids Public Schools ,East Grand Rapids Public Schools,east grand rapids public schools,east grand rapids,2612480,23504104300000,Kent County,GRAND RAPIDS,2895.00000
