state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
NJ,West Milford Township Public School District,west milford twp sch dist,west milford,3417520,31501601300000,3153.00000,school district of the township of west milford
NJ,West Morris Regional High School District,west morris high sch dist,west morris regional,3417550,31501450100000,2426.00000,NA
NJ,WEST NEW YORK SCHOOL DISTRICT,west new york town schools,west new york,3417580,31200901030100,8545.00000,town of west new york board of education
NJ,West Orange Public Schools,west orange town sch dist,west orange public,3417610,31500701400000,6718.00000,NA
NJ,West Windsor-Plainsboro Regional School District,west windsor-plainsboro reg sch dist,west windsor plainsboro regional,3417700,31501101000000,9599.00000,west windsor-plainsboro regional school district
NJ,Westampton Township Public School District,westampton twp sch dist,westampton,3417730,31500303300000,1030.00000,NA
NJ,Westfield Public School District,westfield town sch dist,westfield,3417760,31502001500000,6299.00000,school district of town of westfield
NJ,Westville Boro Public School District,westville boro sch dist,westville boro,3417790,31500802100000,361.00000,NA
NJ,Weymouth Township School District,weymouth twp sch dist,weymouth,3417850,31500100900000,157.00000,NA
NJ,Wharton Borough School District,wharton boro sch dist,wharton,3417880,31501404000000,751.00000,wharton board of education
NJ,White Township Consolidated School District,white twp school district,white consolidated,3417910,31502102200000,278.00000,NA
NJ,Wildwood City School District,wildwood city sch dist,wildwood,3417940,31500590200000,938.00000,city of wildwood board of education
NJ,Wildwood Crest Borough School District,wildwood crest boro sch dist,wildwood crest,3417970,31500501000000,275.00000,NA
NJ,Winfield Township,winfield twp sch dist,winfield,3418030,31502001600000,143.00000,NA
NJ,Wood-Ridge School District,wood-ridge school dist,wood ridge,3418300,31500206800000,1263.00000,NA
NJ,Woodbine School District,woodbine boro sch dist,woodbine,3418090,31500501100000,225.00000,NA
NJ,Woodbury City Public School District,woodbury city sch dist,woodbury,3418150,31500850300000,1637.00000,city of woodbury public school district
NJ,Woodbury Heights Public School District,woodbury heights boro sch dist,woodbury heights,3418180,31500802200000,253.00000,NA
NJ,Woodcliff Lake School District,woodcliff lake school dist,woodcliff lake,3418210,31500206700000,713.00000,NA
NJ,Woodland Township School District,woodland twp sch dist,woodland,3418240,31500303500000,136.00000,NA
NJ,Woodlynne School District,woodlynne boro sch dist,woodlynne,3418270,31500403700000,403.00000,woodlynne board of education
NJ,Wyckoff Township Public School District,wyckoff twp sch dist,wyckoff,3418360,31500206900000,1904.00000,NA
