state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
IN,Tippecanoe Valley School Corp,tippecanoe valley school corporation,tippecanoe valley,1811370,1.55043E+13,1813,NA
IN,Tri-County School Corporation,tri county consolidated school corporation,tri,1811430,1.55092E+13,730,NA
IN,Tri-Township Cons School Corp,tri-township consolidated school corporation,tri township,1800107,1.55046E+13,356,NA
IN,Twin Lakes School Corp,twin lakes consolidated school corporation,twin lakes,1811580,1.55092E+13,2411, twin lakes school corporation - ecas 
IN,Union Co/Clg Corner Joint Sch Dist,union county school corporation,union,1811610,1.55082E+13,1287, union school corporation - ecas 
IN,Union-North United School Corp,union-north united school corporation,union north united,1811910,1.55072E+13,1281,NA
IN,Valparaiso Community Schools,valparaiso community schools,valparaiso,1811970,1.55064E+13,6278,NA
IN,MSD WABASH COUNTY SCHOOLS,wabash county metropolitan school district,wabash,1812180,1.55085E+13,2159,NA
IN,Wabash City Schools,wabash city schools,wabash city schools,1812150,1.55085E+13,1599,NA
IN,MSD WARREN COUNTY,warren county metropolitan school district,warren,1806080,1.55087E+13,1304,NA
IN,MSD WARREN TOWNSHIP,warren township metropolitan school district,warren township,1812360,1.55049E+13,11830,NA
IN,Washington Community Schools,washington community school inc,washington,1812450,1.55014E+13,2478,NA
IN,MSD WASHINGTON TOWNSHIP,washington township metropolitan school district,washington township,1812720,1.55049E+13,11157,NA
IN,Wawasee Community School Corp,wawasee community school corporation,wawasee,1805550,1.55044E+13,2881,NA
IN,MSD WAYNE TOWNSHIP,wayne township metropolitan school district,wayne township,1812810,1.55049E+13,16915, metropolitan school district of wayne township 
IN,Wes-Del Community Schools,wes-del community schools,wes del,1804500,1.55018E+13,854, wes-del community school corporation - ecas 
IN,West Lafayette Com School Corp,west lafayette community school corporation,west lafayette,1812870,1.55079E+13,2396,NA
IN,Western Boone Co Com Sch Dist,western boone county community school corporation,western boone,1812990,1.55007E+13,1732,NA
IN,Western Wayne Schools,western wayne schools,western wayne schools,1813050,1.5509E+13,899,NA
IN,School City of Whiting,whiting city school,whiting city school,1813200,1.55045E+13,1245,NA
IN,Whitley County Con Schools,whitley county consolidated schools,whitley,1802280,1.55092E+13,3654, whitley county consolidated school corporation 
IN,Zionsville Community Schools,zionsville community schools,zionsville,1802830,1.55006E+13,7435,NA
