state,nces_original_name,gov_unit_original_name,ncesid,censusid,acfrs_original_name
NY,MIDDLEBURGH CENTRAL SCHOOL DISTRICT,middleburg central sch,3619260,33504800500000,NA
IN,Middlebury Community Schools,middlebury community schools,1806600,15502001300000, Middlebury Community Schools 
KY,Middlesboro Independent,middlesboro ind sch dist,2104170,18500700300000, Middlesboro Independent School District 
NJ,Middlesex Borough School District,middlesex boro sch dist,3410050,31501201000000,NA
VA,MIDDLESEX CO PBLC SCHS,middlesex co schs,5102490,47106006030100,NA
MA,Middleton,middleton town schs,2507830,22300501530100,NA
ID,MIDDLETON DISTRICT,middleton school district 134,1602130,13501401700000, Middleton School District No. 134 
NH,Middleton School District,middleton school district,3304770,30500900300000,NA
WI,Middleton-Cross Plains Area School District,middleton cross plains school district,5509510,50501308600000,NA
RI,Middletown,middletown town schs,4400630,40300300330100,NA
PA,Middletown Area SD,middletown area sch dist,4215240,39502202100000, Middletown Area School District 
OH,Middletown City,middletown cty sch dist,3904440,36500900500000,NA
NY,MIDDLETOWN CITY SCHOOL DISTRICT,middletown city sch dist,3619320,33503601200000,NA
CT,Middletown School District,middletown city schools,0902490,07200400230100,NA
NJ,MIDDLETOWN TOWNSHIP PUBLIC SCHOOL DISTRICT,middletown twp sch dist,3410110,31501302600000, Middletown Township School District 
CA,Middletown Unified,middletown unified school district,0624750,05501701100000, Middletown Unified School District 
AL,Midfield City,midfield city school district,0102350,01503780200000, Midfield City Board of Education 
ND,MIDKOTA 7,midkota school district 7,3800042,35502030100000,NA
PA,Midland Borough SD,midland boro sch dist,4215270,39500403500000,NA
IA,Midland Comm School District,midland community school district,1919200,16505350100000, Midland Community School District 
IL,Midland CUSD 7,midland community unit school district 7,1700126,14506230100000,NA
TX,MIDLAND ISD,midland ind sch dist 901,4830570,44516500200000, Midland Independent School District 
NJ,Midland Park School District,midland park sch dist,3410140,31500203200000,NA
MI,Midland Public Schools,midland public schools,2623820,23505603900000, Midland Public Schools 
AR,MIDLAND SCHOOL DISTRICT,midland sch district,0500020,04503200700000,NA
TX,MIDLOTHIAN ISD,midlothian ind sch district 908,4830600,44507001000000, Midlothian Independent School District 
IL,Midlothian SD 143,midlothian school district 143,1725920,14501609200000,NA
ID,MIDVALE DISTRICT,midvale school district 433,1602160,13504400200000,NA
OH,Midview Local,midview local sch dist,3904817,36504701200000, Midview Local School District 
OK,MIDWAY,midway sch dist 127,4014670,37504600900000,NA
ND,MIDWAY 128,midway pub sch dist 128,3812920,35501803300000,NA
CA,Midway Elementary,midway elem sch dist,0624780,05501503500000, Midway Elementary School District 
TX,MIDWAY ISD,midway ind sch dist 903,4830640,44515501300000, Midway Independent School District 
TX,MIDWAY ISD,midway ind sch dist 905,4830660,44503900400000, Midway Independent School District 
MO,MIDWAY R-I,midway sch dist r-1,2931800,26501903300000,NA
IL,Midwest Central CUSD 191,midwest central community unit 191,1743962,14506300900000, Midwest Central Community Unit School District No. 191 
