state,county,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,student
NC,Rockingham County,2020,General Purpose,144553001,39793390,9740242,0,0,0,14215229,151559,57059142,0,267058,15978052,14486195,3401884,76486902,5475117,104877916,0,0,0,110353033,11669
CA,San Mateo County,2020,General Purpose,1979736000,0,577795000,570202000,0,2207000,582014000,0,93292000,0,88988000,670556000,588692000,4585000,938071000,276434000,1925470000,0,0,0,2201904000,11576
NC,Lincoln County,2020,General Purpose,243949858,64472006,9752194,0,10271824,0,16448201,161569,55722570,0,2560553,31117563,14732517,6111431,104830802,29862816,126929497,0,0,0,156792313,11571
WI,Eau Claire County,2020,General Purpose,105871086,87910815,9857028,862783,71934,0,0,6630773,2049196,0,3194412,24672584,34961802,825927,54418184,9803816,105074681,0,0,0,114878497,11556
MT,Yellowstone County,2020,General Purpose,53446575,9725000,10250378,0,0,482171,26889090,0,3464895,0,2635041,20904883,3860516,0,67048796,13374296,78439900,0,0,0,91814196,11554
NC,Caldwell County,2020,General Purpose,63680553,0,3767713,0,0,43970245,11131900,0,2948262,0,1715013,10542208,13059772,4990460,68518348,-4252972,101363760,0,0,0,97110788,11444
TX,Bastrop County,2020,General Purpose,86503467,42487870,4060428,93338,0,0,4834705,0,34187316,0,839810,12571459,6116890,4709187,47239433,4885184,65751785,0,0,0,70636969,11434
NM,San Juan County,2020,General Purpose,138119832,29631614,5975488,0,11826519,0,65088739,0,21498659,0,3912931,11921716,15490557,94878,75539855,-11733815,114780821,0,0,0,103047006,11381
AZ,Yuma County,2020,General Purpose,204654401,49186610,17335739,1652322,2382579,0,127464416,0,0,0,7952320,12281055,47359790,2391146,124327709,25731746,160627954,17276895,275574,0,186359700,11303
VA,Fauquier County,2020,General Purpose,160394876,59257189,17913180,37253746,0,0,10468170,0,7196713,0,5507319,8363996,19551424,6514015,193055059,19259678,208224816,0,0,0,227484494,11181
IA,Dubuque County,2020,General Purpose,51983816,28883751,4076020,747572,205561,0,10354574,0,2068064,0,5648274,13959499,7377941,5306505,46471352,12258775,60856522,0,0,0,73115297,11064
IA,Black Hawk County,2020,General Purpose,42774074,19484053,4662121,0,0,0,13999618,0,2235539,0,2392743,5954830,11920406,5513256,45644001,12295125,56737368,0,0,0,69032493,11059
ID,Kootenai County,2020,General Purpose,57879151,0,12479197,1320001,0,0,28043831,0,0,0,6458122,43156208,5203978,1907127,58608080,1341167,107534226,0,0,0,108875393,11017
