"","state","nces_original_name","gov_unit_original_name","ncesid","censusid","county_nces","student","acfrs_original_name"
"10311","WI","Reedsville School District","reedsville school district","5512690","50503605000000","Manitowoc County","562.00000",NA
"10312","CA","Reef-Sunset Unified","reef sunset unified school district","0632270","05501601800000","Kings County","2732.00000"," reef-sunset unified school district "
"10313","MI","Reese Public Schools","reese public schools","2629520","23507907700000","Tuscola County","790.00000"," reese public schools "
"10314","MI","Reeths-Puffer Schools","reeths-puffer schools","2629540","23506105300000","Muskegon County","3597.00000"," reeths-puffer schools "
"10315","TX","REFUGIO ISD","refugio ind sch dist 903","4836780","44519600200000","Refugio County","704.00000"," refugio independent school district "
"10316","IL","Region 05 North Cook ISC 1","intermediate service center 1","1700220","14501631600000","Cook County","24.00000",NA
"10317","IL","Region 06 West Cook ISC 2","intermediate service center 2","1700221","14501631700000","Cook County","207.00000",NA
"10318","IL","Region 07 South Cook ISC 4","intermediate service center 4","1700188","14501631800000","Cook County","69.00000",NA
"10319","MN","REGION 4-LAKES COUNTRY SERVICE COOP","lakes country serv coop (region 4)","2700083","24505640200000","Otter Tail County","70.00000",NA
"10320","MN","Region 6 and 8-SW/WC Service Coop","swwc service coop region 6 & 8","2700086","24504240100000","Lyon County","207.00000",NA
"10321","IL","Region III Spec Ed Coop","region iii special education cooperative","1700325","14506020400000","Madison County","47.00000"," region iii special education cooperative "
"10322","CT","Regional School District 01","regional school district 1","0903600","07500350100000","Litchfield County","360.00000"," regional school district 1 "
"10323","CT","Regional School District 04","regional school district 4","0903630","07500450100000","Middlesex County","847.00000"," regional school district no 4 "
"10324","CT","Regional School District 05","regional school district 5","0903660","07500550100000","New Haven County","2168.00000",NA
"10325","CT","Regional School District 06","regional school district 6","0903515","07500350200000","Litchfield County","913.00000"," regional school district no 6 "
"10326","CT","Regional School District 07","regional high school district 7","0903720","07500350300000","Litchfield County","1027.00000"," regional school district number 7 "
"10327","CT","Regional School District 08","regional school district 8","0903750","07500750100000","Tolland County","1391.00000"," regional school district no 8 "
"10328","CT","Regional School District 09","regional school district 9","0903780","07500150200000","Fairfield County","855.00000"," regional school district no 9 "
"10329","CT","Regional School District 10","regional school district 10","0903520","07500280100000","Hartford County","2225.00000"," regional school district no. 10 "
"10330","CT","Regional School District 11","regional school district 11","0903570","07500870100000","Windham County","203.00000"," regional school district no. 11 "
"10331","CT","Regional School District 12","regional school district 12","0903530","07500380200000","Litchfield County","705.00000",NA
"10332","CT","Regional School District 13","regional school district 13","0903535","07500480100000","Middlesex County","1509.00000"," regional school district no 13 "
"10333","CT","Regional School District 14","regional school district 14","0903536","07500380100000","Litchfield County","1584.00000",NA
"10334","CT","Regional School District 15","regional school district 15","0903537","07500580100000","New Haven County","3646.00000",NA
"10335","CT","Regional School District 16","regional school district 16","0903538","07500580200000","New Haven County","2073.00000"," regional school district no. 16 "
"10336","CT","Regional School District 17","regional school district 17","0903539","07500490100000","Middlesex County","1941.00000"," regional school district no. 17 "
"10337","CT","Regional School District 18","regional school district 18","0903540","07500690100000","New London County","1288.00000"," regional school district 18 "
"10338","CT","Regional School District 19","regional high school district 19","0900005","07500740100000","Tolland County","1098.00000"," regional school district no 19 "
"10339","MT","Reichle Elem","reichle elem dist 26","3022290","27500102400000","Beaverhead County","19.00000",NA
"10340","KS","Remington-Whitewater","remington-whitewater unified school district 206","2006240","17500870300000","Butler County","494.00000",NA
"10341","NY","REMSEN CENTRAL SCHOOL DISTRICT","remsen central sch dist","3624360","33503304300000","Oneida County","431.00000",NA
"10342","IA","Remsen-Union Comm School District","remsen-union community school district","1924120","16507503200000","Plymouth County","336.00000"," remsen-union community school district "
"10343","NY","REMSENBURG-SPEONK UNION FREE SCHOOL DISTRICT","remsenburg-speonk union free school dist","3624420","33505206700000","Suffolk County","133.00000",NA
"10344","MO","RENICK R-V","renick sch dist r 5","2926190","26508802100000","Randolph County","97.00000",NA
"10345","IN","Rensselaer Central School Corp","rensselaer ctl school corporation","1809420","15503701100000","Jasper County","1598.00000",NA
"10346","NY","RENSSELAER CITY SCHOOL DISTRICT","renssalaer city sch dist","3624450","33504202000000","Rensselaer County","1108.00000","rensselaer city school district"
"10347","WA","Renton School District","renton school district 403","5307230","48501701600000","King County","16189.00000"," renton school district 403 "
"10348","WA","Renton School District","renton school district 403","5307230","48501701600000","King County","16189.00000"," renton school district no. 403 "
"10349","WA","Renton Technical College","renton technical college","5300325","48653003250000","King County","10.00000",NA
"10350","MN","RENVILLE COUNTY WEST SCHOOL DIST.","renville county west school district","2700163","24506530200000","Renville County","567.00000",NA
"10351","KS","Renwick","renwick unified school district 267","2011080","17508700100000","Sedgwick County","1812.00000"," renwick unified school district no. 267 "
"10352","KS","Republic County","republic county unified school district 109","2000030","17507910100000","Republic County","539.00000",NA
"10353","MO","REPUBLIC R-III","republic sch dist r 3","2926220","26503900800000","Greene County","5062.00000","republic r-iii school district"
"10354","WA","Republic School District","republic school district 309","5307260","48501000600000","Ferry County","346.00000"," republic school district no 309 "
"10355","MI","Republic-Michigamme Schools","republic michigamme sch dist","2629580","23505201300000","Marquette County","98.00000","republic-michigamme schools"
"10356","CA","Rescue Union Elementary","rescue elementary school district","0632310","05500902400000","El Dorado County","3610.00000"," rescue union school district "
"10357","NM","RESERVE PUBLIC SCHOOLS","reserve ind school district","3502220","32500200200000","Catron County","122.00000"," reserve independent schools "
"10358","MA","Revere","revere city sch","2510050","22201300330100","Suffolk County","7532.00000",NA
"10359","OH","Revere Local","revere local sch dist","3905005","36507700300000","Summit County","2770.00000"," revere local school district "
"10360","CO","Revere School District","revere school district","0806000","06505870200000","Sedgwick County","139.00000",NA
"10361","OK","REYDON","reydon school dist 6","4025800","37506500800000","Roger Mills County","115.00000"," reydon independent school district 6 "
"10362","PA","Reynolds SD","reynolds school dist","4220220","39504370300000","Mercer County","1020.00000"," reynolds school district "
"10363","OR","Reynolds SD 7","reynolds school dist 7","4110520","38502601400000","Multnomah County","11071.00000",NA
"10364","OH","Reynoldsburg City","reynoldsburg city sch dist","3904700","36502501100000","Franklin County","7438.00000"," reynoldsburg city school district "
"10365","TN","Rhea County","rhea co sch dist","4703510","43107207230100","Rhea County","4225.00000"," rhea county schools "
"10366","NY","RHINEBECK CENTRAL SCHOOL DISTRICT","rhinebeck central sch","3624480","33501401800000","Dutchess County","963.00000",NA
"10367","WI","Rhinelander School District","rhinelander city school district","5512720","50504480100000","Oneida County","2403.00000",NA
"10368","IL","Rhodes SD 84-5","rhodes school district 84-5","1733390","14501612100000","Cook County","587.00000"," rhodes public school district 84.5 "
"10369","CA","Rialto Unified","rialto unified sch dist","0632370","05503604700000","San Bernardino County","25186.00000"," rialto unified school district "
"10370","WI","Rib Lake School District","rib lake joint school district 1","5512780","50506103900000","Taylor County","488.00000",NA
"10371","TX","RICARDO ISD","ricardo ind sch dist 902","4836930","44513700300000","Kleberg County","672.00000"," ricardo independent school district "
