acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state,nces_original_name,student
LaSalle-Peru Township High School No. 120,NA,398450,2020,School District,47940066,47185000,0,299597,0,0,0,0,0,0,0,0,0,0,28090620,-3935897,32026517,0,0,0,28090620,FALSE,lasalle-peru twp high school 120,1.706621854555008,1 - 5%,Illinois,NA,NA
Lee County Special Education Association,NA,33055,2020,School District,63896345,42333087,5701264,0,0,0,2073287,0,13680455,0,108252,893534,14281585,50000,27711870,1069924,41867065,0,0,0,42936989,FALSE,lee county special education association,1.4881421936689598,1 - 5%,Illinois,NA,NA
Lemont-Bromberek Combined School District 113A,NA,32930,2020,School District,27962574,9638050,2063129,0,0,0,2735796,0,13269822,0,255777,0,11134292,0,30680707,6246944,35568055,0,0,0,41814999,FALSE,lemont-bromberek combined sd 113a,0.6687211447739123, Below 1%,Illinois,NA,NA
Leyden Area Special Education,NA,169390,2020,School District,4960872,0,43283,0,0,0,540368,0,4377221,0,0,2649756,5082946,0,39907,937495,6835114,0,0,0,7772609,FALSE,leyden area special education,0.6382505539645696, Below 1%,Illinois,NA,NA
Leyden High School District No. 212,NA,45037,2020,School District,176471976,32836722,5428248,0,72985000,0,8201260,0,56794408,0,226338,2304561,34873956,0,84792670,-1810093,123781280,0,0,0,121971187,FALSE,leyden hsd 212,1.4468333082632048,1 - 5%,Illinois,NA,NA
Lincoln-Way Community High School District 210,NA,33158,2020,School District,251670554,251670554,0,0,0,0,9226083,0,1497551,0,0,9999813,42579119,0,94798549,9846202,137531279,0,0,0,147377481,FALSE,lincoln-way chsd 210,1.7076594897153927,1 - 5%,Illinois,NA,NA
Livingston County Special Services Unit,NA,45477,2020,School District,3347959,0,229254,0,0,0,392729,0,2725976,0,0,0,0,0,6838099,-608031,7446130,0,0,0,6838099,FALSE,livingston county special services unit,0.48960376268316674, Below 1%,Illinois,NA,NA
Lombard Elementary School District 44,NA,32988,2020,School District,61117174,7551046,6832915,0,965000,0,10333112,0,35242977,0,192124,1018352,30396957,0,52958025,-2937542,87310876,0,0,0,84373334,FALSE,lombard esd 44,0.7243659945925569, Below 1%,Illinois,NA,NA
Lyons Elementary School District 103,NA,32932,2020,School District,31596479,7911732,1346548,225049,0,0,3140789,0,18972361,0,0,449773,18272690,50000,33401132,943632,51229963,0,0,0,52173595,FALSE,lyons esd 103,0.6056028724875102, Below 1%,Illinois,NA,NA
Maine Township High School District No. 207,NA,197785,2020,School District,253302156,144492986,11551794,0,0,0,7031193,3584072,88502859,0,1311566,4586558,62269484,42261,145863182,13299368,199462117,0,0,0,212761485,FALSE,maine twp hsd 207,1.190545159054516,1 - 5%,Illinois,NA,NA
Manteno Community Unit School District No.5,NA,93871,2020,School District,25632233,25615361,16872,0,0,0,1199016,0,0,0,0,0,0,0,36647618,762347,35885271,0,0,0,36647618,FALSE,mantecusd 5,0.699424257260049, Below 1%,Illinois,NA,NA
Marengo-Union Elementary Consolidated School District No. 165,NA,49324,2020,School District,2610000,2610000,0,0,0,0,0,0,0,0,0,0,0,0,15856930,118690,15738240,0,0,0,15856930,FALSE,marengo-union elementary consolidated sd 165,0.16459680404718946, Below 1%,Illinois,NA,NA
Mascoutah Community Unit School District No 19,NA,33123,2020,School District,67782206,67782206,0,0,0,0,2992528,0,0,0,0,1434218,5201445,81005,55303849,-646468,62666985,0,0,0,62020517,FALSE,mascoutah cusd 19,1.0928997254247332,1 - 5%,Illinois,NA,NA
Massac County Community Unit School District No.1,NA,33095,2020,School District,2890253,2889500,753,0,0,0,0,0,0,0,0,0,0,0,33217011,2373347,30843664,0,0,0,33217011,FALSE,massac county cusd 1,0.08701123048067148, Below 1%,Illinois,NA,NA
Maywood-Melrose Park-Broadview School District 89,NA,32948,2020,School District,72354131,26231431,10752147,0,0,0,4013216,0,31277008,0,80329,106770,36603582,50000,61428866,10180491,88008727,0,0,0,98189218,FALSE,maywood-melrose park-broadview sd 89,0.7368846852411025, Below 1%,Illinois,NA,NA
Mclean County Unit School District No.5,NA,33067,2020,School District,134294916,131360000,0,2934916,0,0,0,0,0,0,0,5428582,75330652,0,133066154,1406778,212418610,0,0,0,213825388,FALSE,mclean county unit sd 5,0.6280587972088703, Below 1%,Illinois,NA,NA
Mercer County School District 404,NA,53936,2020,School District,4144135,4101300,0,42835,0,0,0,0,0,0,0,0,0,0,20788573,559187,20229386,0,0,0,20788573,FALSE,mercer county sd 404,0.19934677575031245, Below 1%,Illinois,NA,NA
Minooka Community Consolidated School District 201,NA,53170,2020,School District,61520298,61519860,438,0,0,0,3506625,0,0,0,0,0,0,0,115746481,904775,114841706,0,0,0,115746481,FALSE,mika ccsd 201,0.5315090140839789, Below 1%,Illinois,NA,NA
Moline-Coal Valley School Dist No 40,NA,33113,2020,School District,132197031,45586718,14429667,0,0,0,10095459,0,61729084,0,356103,4010248,43002601,50000,78369986,7403545,118029290,0,0,0,125432835,FALSE,moline-coal valley school dist 40,1.0539268366213679,1 - 5%,Illinois,NA,NA
Momence Community Schools Unit District 1,NA,169391,2020,School District,9120000,9120000,0,0,0,0,547428,0,0,0,0,0,0,0,18863510,1446354,17417156,0,0,0,18863510,FALSE,momence community schools unit district 1,0.4834731182054665, Below 1%,Illinois,NA,NA
Mt. Vernon City Schools District 80,NA,33014,2020,School District,8016894,7715000,301894,0,0,0,1358448,0,0,0,0,0,0,0,30391766,373299,30018467,0,0,0,30391766,FALSE,mt ver city schools district 80,0.2637850659945197, Below 1%,Illinois,NA,NA
Mt. Vernon Township High School District No. 201,NA,196579,2020,School District,17180681,17293834,-113153,0,0,0,1207494,0,7032577,0,225090,0,0,0,25021964,544208,24477756,0,0,0,25021964,FALSE,mt ver twp hsd 201,0.6866239996188949, Below 1%,Illinois,NA,NA
Mundelein Consolidated High School District 120,NA,45060,2020,School District,40962687,14570458,1861541,0,0,0,4404387,0,20098750,0,27551,1355623,17689908,0,38501690,2714885,54832336,0,0,0,57547221,FALSE,mundelein consolidated hsd 120,0.7118099933965534, Below 1%,Illinois,NA,NA
Naperville Community Unit School Distrcit No. 203,NA,93880,2020,School District,291136543,13660000,31718384,3230987,0,0,34119395,0,206886339,0,1521438,7055738,138441455,0,265679257,12579837,398596613,0,0,0,411176450,FALSE,naperville community unit school distrcit 203,0.7080574361688273, Below 1%,Illinois,NA,NA
New Lenox School District No. 122,NA,42134,2020,School District,133727622,133210842,400200,0,0,0,4999686,0,31417089,0,0,1564309,22388141,298740,61870792,-1499204,87621186,0,0,0,86121982,FALSE,new le sd 122,1.55276990722299,1 - 5%,Illinois,NA,NA
North Boone Community Unit School District No. 200,NA,52688,2020,School District,12891413,12891413,0,0,0,0,0,0,0,0,0,0,0,0,29853427,1091225,28762202,0,0,0,29853427,FALSE,th boone cusd 200,0.431823555801483, Below 1%,Illinois,NA,NA
