state.abb,county,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,id,state.name,population
MI,Midland County,2020,General Purpose,79577321,41705449,3392617,0,0,179000,1886685,0,30306340,0,2107230,10837863,20119343,24003,30745511,7694733,54031987,0,0,0,61726720,0500000US26111,Michigan,83494
PA,Indiana County,2020,General Purpose,52191073,0,5022613,1027745,0,45192182,0,3439591,0,0,948533,16150826,23562717,833723,21830616,3558276,58819606,0,0,0,62377882,0500000US42063,Pennsylvania,83246
FL,Monroe County,2020,General Purpose,484272398,30310000,31852682,0,0,151847440,181968145,0,57533000,0,15748578,77082221,25649954,44156781,179296716,3961794,322223878,0,0,0,326185672,0500000US12087,Florida,82874
TX,Henderson County,2020,General Purpose,11655251,0,2534780,1703724,0,0,5320952,0,0,0,2095795,7019879,3710976,0,31578319,2886913,39422261,0,0,0,42309174,0500000US48213,Texas,82150
AL,Talladega County,2020,General Purpose,44080242,0,1928853,2150567,0,428855,6019480,0,12331713,0,685214,8514878,6839672,463179,18846541,7546974,27117296,0,0,0,34664270,0500000US01121,Alabama,82149
WA,Lewis County,2020,General Purpose,55734140,8227856,8313222,267706,0,849833,10155929,2415011,20579052,0,5413050,29271580,28106700,4910609,58546662,18170549,102665002,0,0,0,120835551,0500000US53041,Washington,82149
KS,Leavenworth County,2020,General Purpose,0,28030000,0,493092,769762,0,25253579,0,0,0,0,0,0,0,92281019,-601840,92882859,0,0,0,92281019,0500000US20103,Kansas,81881
MO,Cape Girardeau County,2020,General Purpose,194689,0,194689,0,0,0,0,0,0,0,0,0,1521971,693263,1674993,374250,3515977,0,0,199808,3890227,0500000US29031,Missouri,81710
OK,Payne County,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32942216,5264498,27677718,0,0,0,32942216,0500000US40119,Oklahoma,81646
CA,Yuba County,2020,General Purpose,299673311,73047435,12290808,9308336,226465,8215000,155091698,0,20718620,0,7980890,61343806,112836432,3476047,36468518,29728938,184395865,0,0,0,214124803,0500000US06115,California,81575
GA,Bulloch County,2020,General Purpose,27011322,17007562,5973994,1681610,0,376089,0,0,0,0,1272067,12749082,2373696,2416455,59886138,6213733,71211638,0,0,0,77425371,0500000US13031,Georgia,81099
NC,Caldwell County,2020,General Purpose,63680553,0,3767713,0,0,43970245,11131900,0,2948262,0,1715013,10542208,13059772,4990460,68518348,-4252972,101363760,0,0,0,97110788,0500000US37027,North Carolina,80652
PA,Clearfield County,2020,General Purpose,6118295,0,4219530,455050,0,0,989715,0,0,0,454000,3639494,22194706,0,14325398,3852023,36307575,0,0,0,40159598,0500000US42033,Pennsylvania,80562
IN,Kosciusko County,2020,General Purpose,0,3838000,0,118744,0,0,0,0,0,0,0,11131859,38082982,0,181424501,8387330,222252012,0,0,0,230639342,0500000US18085,Indiana,80240
OR,Umatilla County,2020,General Purpose,10088644,9535000,0,240087,0,313557,24991582,0,2998355,295408,0,11763444,30005928,0,23962747,3109162,62622957,0,0,0,65732119,0500000US41059,Oregon,80075
WY,Natrona County,2020,General Purpose,20783393,0,1195378,0,0,0,14831253,0,0,0,1221547,5694414,5248146,11280941,35482425,-1150596,58856522,0,0,0,57705926,0500000US56025,Wyoming,79955
TN,Putnam County,2020,General Purpose,129589503,117825000,3188159,365145,2033748,5935000,0,12013896,8068625,0,0,17967050,6262634,1470146,50966460,10987578,65678712,0,0,0,76666290,0500000US47141,Tennessee,79854
NY,Clinton County,2020,General Purpose,346318357,45962135,16647047,5758174,0,7248396,44926446,0,215554089,0,8023370,24782529,39336187,10699785,73412287,-23112659,171343447,2402582,4637214,1464946,148230788,0500000US36019,New York,79843
VA,Bedford County,2020,General Purpose,142188340,88188041,26055228,5655350,0,0,9648082,0,2579586,0,2109636,14592153,22283832,158779,91637003,-13267969,141939736,0,0,0,128671767,0500000US51019,Virginia,79462
MI,Clinton County,2020,General Purpose,11156457,8146050,1685048,0,0,0,0,5652577,0,5400239,1325359,5834364,4926697,741050,21579700,7193559,25888252,0,0,0,33081811,0500000US26037,Michigan,79128
NC,Wilson County,2020,General Purpose,110165370,7727996,6842714,255056,0,15816068,15933147,83047,56968613,0,2384864,14425969,19045472,100116,76607204,2595205,107583556,0,0,0,110178761,0500000US37195,North Carolina,78784
NY,Sullivan County,2020,General Purpose,743708859,261303553,48789644,1119819,0,0,58022246,0,304468473,0,4576961,47593943,45506825,7646373,134657651,-20986970,256391762,0,0,0,235404792,0500000US36105,New York,78624
SC,Oconee County,2020,General Purpose,97448315,14498485,4905376,8960635,0,0,53536319,0,11134969,0,1651761,14022308,3139229,2050616,52808914,2893022,69128045,0,0,0,72021067,0500000US45073,South Carolina,78607
VA,James City County,2020,General Purpose,171757974,131507324,7139244,1086117,0,0,19504820,0,8175670,0,4162759,17824271,41795253,180635,167139290,24892311,202047138,127040,4219,0,226939449,0500000US51095,Virginia,78254
MS,Forrest County,2020,General Purpose,67672157,17207164,3509194,0,0,3445945,42415214,0,0,0,554040,3434407,5403131,1671414,37097850,1107595,46499207,0,0,0,47606802,0500000US28035,Mississippi,78158
VA,Augusta County,2020,General Purpose,109688579,74620660,12794422,1375872,0,0,11033402,0,7596861,0,2267362,7927419,22870708,1635216,96699561,445503,128687401,0,0,0,129132904,0500000US51015,Virginia,77487
MO,Cole County,2020,General Purpose,13972414,864331,2149270,367798,0,0,3353850,4263374,0,0,1477048,10459547,13549418,358881,33179839,10246799,47300886,0,0,0,57547685,0500000US29051,Missouri,77279
WA,Clallam County,2020,General Purpose,0,0,0,0,9917675,0,0,0,0,0,3169045,15352614,21904847,0,51154233,33687,88378007,0,0,0,88411694,0500000US53009,Washington,77155
TN,Anderson County,2020,General Purpose,68698757,53299448,3102372,29879,8394000,1303842,0,3413650,520475,0,697487,14023986,4194719,535788,29806567,2785875,45775185,0,0,0,48561060,0500000US47001,Tennessee,77123
OH,Ross County,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,0,5421362,0,4798748,1832763,8387347,0,0,0,10220110,0500000US39141,Ohio,77093
NY,Cattaraugus County,2020,General Purpose,493045337,44715473,31942494,1306021,0,0,58134568,0,338251845,0,7431474,48190041,40534023,6242360,107616141,-9312714,211895279,0,0,0,202582565,0500000US36009,New York,77042
AR,White County,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US05145,Arkansas,76822
NH,Cheshire County,2020,General Purpose,87701485,49357840,6746912,30369,0,0,27177256,0,3303439,0,924169,13361961,11959895,270071,29801639,2871043,52522523,0,0,0,55393566,0500000US33005,New Hampshire,76458
TX,Walker County,2020,General Purpose,56007585,13443221,3719059,0,0,451918,16271351,0,20947733,0,1174303,8000230,8664102,0,25996327,802515,41858144,0,0,0,42660659,0500000US48471,Texas,76400
NC,Chatham County,2020,General Purpose,283690151,199347924,14245458,0,46111038,0,12306622,143297,9694018,0,1985091,21963850,10481521,0,113566462,-37922730,183934563,0,0,0,146011833,0500000US37037,North Carolina,76285
NY,Cayuga County,2020,General Purpose,252202941,50108557,17925937,1362820,0,0,33551163,0,145470448,0,3784016,38157589,30826113,6749184,92671545,-7996727,176401158,0,0,0,168404431,0500000US36011,New York,76248
NM,Valencia County,2020,General Purpose,37771409,6940000,1429273,0,276113,0,19341559,0,6780159,0,697609,1794748,6770218,816018,29687816,6291147,32777653,0,0,0,39068800,0500000US35061,New Mexico,76205
GA,Jackson County,2020,General Purpose,114072225,74861733,7324639,0,0,0,8623779,0,20290315,0,1202643,15960558,3334477,2479769,68488991,10722015,79541780,0,0,0,90263795,0500000US13157,Georgia,75907
OH,Erie County,2020,General Purpose,193209404,16009105,6586875,435610,79712938,0,45194026,0,30274176,0,4189187,43631219,27535138,4004014,37240785,-16710707,129121863,0,0,0,112411156,0500000US39043,Ohio,75622
MI,Van Buren County,2020,General Purpose,36677814,4315000,5327057,0,0,6158497,14442095,0,4300273,0,2134892,7258687,9009750,64165,22412227,-429086,39173915,0,0,0,38744829,0500000US26159,Michigan,75587
FL,Walton County,2020,General Purpose,198451242,0,22455186,1745866,0,20470739,113424645,0,30317000,0,5224870,17488699,15286013,6010558,159333608,18127750,179991128,0,0,0,198118878,0500000US12131,Florida,75305
OH,Hancock County,2020,General Purpose,82913251,10725241,4050330,0,0,39878,29311796,315679,19805726,33620,3468335,14560140,29405998,2267505,36462207,2526243,80169607,0,0,0,82695850,0500000US39063,Ohio,74920
