"","name","government_ID","id","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","geo_id","city_town","state.name","population","state.abb","original_name","CITY","COUNTY_AREA_NAME"
"1739","Berea","36201800600000",58688,"General Purpose",75582033,11665422,1536618,448226,14608320,13635000,23888239,0,8507489,0,1292719,7465398,2550362,1690163,22926940,-2081814,36714677,0,0,0,34632863,FALSE,"1600000US3905690","Berea city","Ohio",18545,"OH","CITY OF BEREA","BEREA","CUYAHOGA"
"1740","Palestine","44200100300000",88396,"General Purpose",27303168,3260000,2234994,2987247,0,0,6923727,0,1452242,0,1471958,14228041,1582343,303984,14299128,4457527,25955969,0,0,0,30413496,FALSE,"1600000US4854708","Palestine city","Texas",18544,"TX","CITY OF PALESTINE","PALESTINE","ANDERSON"
"1741","Trenton","23208202600000",80951,"General Purpose",102617534,8228937,3008008,0,0,0,39090920,0,49895991,0,2061009,12015584,2141827,1237480,20452411,-494070,36341372,0,0,0,35847302,FALSE,"1600000US2680420","Trenton city","Michigan",18544,"MI","CITY OF TRENTON","TRENTON","WAYNE"
"1742","Palos Hills","14201651200000",73446,"General Purpose",51482899,0,2741691,0,6747312,0,39833967,0,968416,0,607696,8333756,785154,63000,8077643,-5887090,23146643,0,0,0,17259553,FALSE,"1600000US1757394","Palos Hills city","Illinois",18530,"IL","CITY OF PALOS HILLS","PALOS HILLS","COOK"
"1743","Ferguson","26209503200000",35144,"General Purpose",18771551,5200071,3485983,739577,0,0,1092117,0,249462,0,612921,1151416,30656,1813344,15566252,-290929,18852597,0,0,0,18561668,FALSE,"1600000US2923986","Ferguson city","Missouri",18527,"MO","CITY OF FERGUSON","FERGUSON","ST LOUIS"
"1744","Groveland","10203500500000",69172,"General Purpose",23950609,10148606,6378519,657228,337440,4548303,0,0,1075967,0,804546,12002528,1300406,6994842,11680408,2960357,29017827,7697283,273217,1548746,31978184,FALSE,"1600000US1227800","Groveland city","Florida",18505,"FL","CITY OF GROVELAND","GROVELAND","LAKE"
"1745","Albert Lea","24202400100000",65382,"General Purpose",39119263,23818413,3115729,0,148769,1162783,8030742,0,1159127,0,1320403,9502666,1558257,3254174,15435822,3418146,26332773,0,0,0,29750919,FALSE,"1600000US2700694","Albert Lea city","Minnesota",18492,"MN","CITY OF ALBERT LEA","ALBERT LEA","FREEBORN"
"1746","Franklin Park","14201603200000",111782,"General Purpose",202496046,59117546,5793775,716206,4187814,0,106414114,1173422,24987481,0,1279110,18407748,199807,2352008,32363310,-4001162,57324035,0,0,0,53322873,FALSE,"1600000US1727702","Franklin Park village","Illinois",18467,"IL","VILLAGE OF FRANKLIN PARK","FRANKLIN PARK","COOK"
"1747","Lebanon","38202200500000",37568,"General Purpose",71768523,26256503,1401577,92415,28608607,2615192,10998985,0,1097166,105685,698078,14211905,71813,1007692,14700677,3854478,26137609,0,0,0,29992087,FALSE,"1600000US4141650","Lebanon city","Oregon",18447,"OR","CITY OF LEBANON","LEBANON","LINN"
"1748","Niles","36207800600000",46790,"General Purpose",73845500,6947200,3813416,0,0,0,20631296,20098,7165961,0,1984022,43153599,3306073,197547,11882066,8186926,50352359,0,0,0,58539285,FALSE,"1600000US3955916","Niles city","Ohio",18443,"OH","CITY OF NILES","NILES","TRUMBULL"
