acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,ratio,ratio_group,state,NCES District ID,nces_original_name,county,student
Posen Consolidated School District No. 9,161488,2020,5976651,523115,243753,0,0,49656,4240009,0,920118,0,0,35601,635714,0,2008584,-99431,2779330,0,0,0,2679899,posen consolidatedno,2.230177704458265,1 - 5%,Michigan,2629130,Posen Consolidated School District No. 9,Presque Isle County,207
Boyne Falls Public School District,161473,2020,9250643,2385000,730570,0,0,0,5014329,0,1108018,0,12726,153557,333958,0,3549404,105524,3931395,0,0,0,4036919,boyne falls public,2.29151067930766,1 - 5%,Michigan,2606510,Boyne Falls Public School District,Charlevoix County,205
Comstock Independent School District,163519,2020,3679570,1567854,305242,61218,0,0,665866,0,1079390,0,0,80578,431038,0,3084176,223321,3372471,0,0,0,3595792,comstock,1.0232989004925757,1 - 5%,Texas,4814920,COMSTOCK ISD,Val Verde County,205
Di Giorgio Elementary School District,146075,2020,2767030,0,166832,12420,0,0,2177776,0,395721,0,14281,0,795560,0,2585293,146975,3233878,0,0,0,3380853,di giorgio elementary,0.818441381509341, Below 1%,California,0611130,Di Giorgio Elementary,Kern County,205
Hunt Independent School District,163663,2020,5360572,3505284,555660,0,0,0,544675,0,754953,0,0,44892,363254,0,5074857,-40740,5523743,0,0,0,5483003,hunt,0.9776708128738941, Below 1%,Texas,4823970,HUNT ISD,Kerr County,205
Semitropic Elementary School District,146641,2020,2178561,0,238194,0,0,0,1938521,0,0,0,1846,310,547757,0,2604419,461156,2691330,0,0,0,3152486,semitropic elementary,0.6910612767193891, Below 1%,California,0636330,Semitropic Elementary,Kern County,205
Bynum Independent School District,163483,2020,3334457,1482709,208770,0,0,75044,590092,0,977842,0,0,19051,455985,0,2985171,421016,3039191,0,0,0,3460207,bynum,0.9636582435675091, Below 1%,Texas,4812360,BYNUM ISD,Hill County,204
College Elementary School District,146037,2020,18366546,6261449,429942,1918695,0,0,5242456,0,38495,0,27734,78121,311981,1300,6035565,223775,6203192,0,0,0,6426967,college elementary,2.8577314929421607,1 - 5%,California,0609330,College Elementary,Santa Barbara County,204
Cuyama Joint Unified School District,146061,2020,10543523,4402779,1668169,1154962,0,0,3300025,0,0,0,17588,7684,512754,0,4021034,335105,4206367,0,0,0,4541472,cuyama joint unified,2.321609161082574,1 - 5%,California,0600009,Cuyama Joint Unified,Santa Barbara County,204
Penelope Independent School District,163848,2020,2932165,503234,685494,94000,80282,0,620627,0,948527,0,0,61958,520445,0,2788373,-112891,3483667,0,0,0,3370776,penelope,0.8698783306870584, Below 1%,Texas,4834560,PENELOPE ISD,Hill County,204
