acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,ratio,ratio_group,state,NCES District ID,nces_original_name,county,student
Denair Unified School District,146072,2020,43641288,22928378,1632108,1967240,0,0,14765687,0,1201666,0,91209,606266,2518051,0,15128946,-3255547,21508810,0,0,0,18253263,denair unified,2.390875976530881,1 - 5%,California,0611040,Denair Unified,Stanislaus County,1315
Pleasant Local School District,46491,2020,51375835,34865489,1716604,53808,0,0,12888219,0,1202673,754329,649042,3230000,1600105,0,12789175,444150,17175130,0,0,0,17619280,pleasant local,2.915887312080857,1 - 5%,Ohio,3904842,Pleasant Local,Marion County,1314
Warren Independent School District,39219,2020,32239872,21405447,3325088,0,0,1468000,3407570,0,4860502,0,0,197860,2334565,0,15438719,175156,17795988,0,0,0,17971144,warren,1.7939799491896564,1 - 5%,Texas,4844580,WARREN ISD,Tyler County,1313
Franklin County District School Board,32386,2020,12765087,0,86965,55224,0,4215510,7588622,0,363565,0,455200,98966,1371578,326031,16979377,-640414,19416368,0,0,0,18775954,franklin,0.6798635637901541, Below 1%,Florida,1200570,FRANKLIN,Franklin County,1312
Northland Pines School District,40079,2020,17000501,9425000,647962,8171,0,2393904,0,2114743,4525464,0,0,1242936,3253838,0,21689571,2147436,24038909,0,0,0,26186345,northland pines,0.64921244259174, Below 1%,Wisconsin,5503860,Northland Pines School District,Vilas County,1310
Crockett Independent School District,45636,2020,25031580,11182734,1135566,0,0,1061469,4904053,0,6747758,0,0,200633,5583913,0,15373191,803941,20353796,0,0,0,21157737,crockett,1.1830934470921914,1 - 5%,Texas,4815720,CROCKETT ISD,Houston County,1309
Opp City Board of Education,44048,2020,27133583,8733065,1164489,0,647615,0,11244000,0,4969414,0,0,1120178,10415573,466340,2978328,751157,14229262,0,0,0,14980419,opp city,1.8112699651458346,1 - 5%,Alabama,0102610,Opp City,Covington County,1308
Richland School District,40050,2020,18978462,13273015,3435148,37011,0,191187,1625616,1724816,416485,0,0,443823,3414079,0,17025369,-108203,20991474,0,0,0,20883271,richland,0.9087878043626403, Below 1%,Wisconsin,5512960,Richland School District,Richland County,1307
Chippewa Local School District,82764,2020,34032836,15582255,2213236,263222,0,0,13919136,0,1310646,0,744341,1239077,1475592,0,13253234,-982363,16950266,0,0,0,15967903,chippewa local,2.1313278268286076,1 - 5%,Ohio,3905053,Chippewa Local,Wayne County,1306
Boyd Independent School District,163465,2020,29799964,21546097,1390550,0,0,0,2900499,0,3962818,0,0,218191,2236396,0,13587354,-409709,16451650,0,0,0,16041941,boyd,1.8576283256496207,1 - 5%,Texas,4811010,BOYD ISD,Wise County,1305
Finneytown Local School District,37105,2020,56782707,30422774,2813769,0,0,0,20392190,0,1822682,1204091,1331292,473730,4119559,0,18427027,-668879,23689195,0,0,0,23020316,finneytown local,2.4666345587958047,1 - 5%,Ohio,3904733,Finneytown Local,Hamilton County,1305
Northeastern Clinton Central School District,36149,2020,94174801,8577930,1069395,0,0,0,2370806,0,79457437,0,2699233,149030,1358804,0,30933638,-4538953,36980425,0,0,0,32441472,northeastern clinton central,2.902913930662579,1 - 5%,New York,3621250,NORTHEASTERN CLINTON CENTRAL SCHOOL DISTRICT,Clinton County,1305
Reed Union Elementary School District,146546,2020,52143169,25625592,867331,575246,0,0,22543531,0,2139468,0,169941,14773,4185162,0,23984419,180862,28003492,0,0,0,28184354,reed union elementary,1.8500750097021914,1 - 5%,California,0632160,Reed Union Elementary,Marin County,1305
Liberty County District School Board,32405,2020,15132103,0,2938077,0,0,0,9718718,0,1023026,0,682346,54054,779260,12081453,15634286,10161167,18387886,0,0,0,28549053,liberty,0.5300387021594026, Below 1%,Florida,1201170,LIBERTY,Liberty County,1304
School District of Prescott,169295,2020,40130182,35270202,1911891,0,0,0,0,0,2444108,0,503981,859938,1648959,0,18984890,1558651,19935136,0,0,0,21493787,prescott,1.8670596298362871,1 - 5%,Wisconsin,5512240,Prescott School District,Pierce County,1303
Wayland-Cohocton Central School District,36394,2020,35248581,20115514,2586050,0,0,0,2365559,1675649,7747781,0,726513,161861,1885160,355918,31113030,-357798,33873767,0,0,0,33515969,wayland-cohocton central,1.0516951188252979,1 - 5%,New York,3600011,WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT,Steuben County,1302
Wellston City School District,37126,2020,27665061,1323044,2252469,3700000,0,0,17751171,0,1633970,1046305,1004407,944069,4605232,0,16858337,-2849722,25257360,0,0,0,22407638,wellston city,1.2346263805225701,1 - 5%,Ohio,3904502,Wellston City,Jackson County,1302
Buhl Joint School District 412,32746,2020,7068344,1600000,1123090,21710,0,469806,1788671,0,0,360493,0,78345,8286930,0,3831339,1853616,10342998,0,0,0,12196614,buhl joint,0.5795333032594128, Below 1%,Idaho,1600480,BUHL JOINT DISTRICT,Twin Falls County,1301
Minford Local School District,37242,2020,20935924,396743,1395908,168999,0,0,16141789,0,1507232,948320,1325253,2070231,3130823,0,13519269,-1503088,20223411,0,0,0,18720323,minford local,1.1183527121834382,1 - 5%,Ohio,3904962,Minford Local,Scioto County,1300
Zane Trace Local School District,47435,2020,21928156,0,1833094,3204275,0,0,14545146,0,1373754,847746,971887,1782612,2493970,0,12898064,-636916,17811562,0,0,0,17174646,zane trace local,1.2767748458978427,1 - 5%,Ohio,3904954,Zane Trace Local,Ross County,1300
School District of Bloomer,47417,2020,25135803,19612749,0,0,0,3450000,86877,1414854,792504,0,0,931562,2835686,0,15300243,1302520,17764971,0,0,0,19067491,bloomer,1.3182543523948693,1 - 5%,Wisconsin,5501350,Bloomer School District,Chippewa County,1298
Creswell School District,86119,2020,29363088,13126055,1718176,105019,0,0,12821047,0,1563986,121691,28805,272413,1893334,15635,15399172,-1000125,18580679,0,0,0,17580554,creswell,1.6702026568673547,1 - 5%,Oregon,4103690,Creswell SD 40,Lane County,1298
Columbus School District,46183,2020,28918833,21975000,1520176,0,45000,2945000,274379,1536657,840677,0,93924,1731167,3163117,0,14478148,1228419,18144013,0,0,0,19372432,columbus,1.4927827853518856,1 - 5%,Wisconsin,5502820,Columbus School District,Columbia County,1297
Ridgewood Local School District,37044,2020,20789345,1523000,1618141,733296,0,0,14472974,0,1442715,814404,999219,1272571,2494060,148964,11812930,-731168,16459693,0,0,0,15728525,ridgewood local,1.3217606228174605,1 - 5%,Ohio,3904647,Ridgewood Local,Coshocton County,1297
Littlefield Independent School District,39065,2020,11469247,0,2379154,181506,0,0,3800608,0,5107978,0,0,983600,4269989,0,14395153,1725565,17923177,0,0,0,19648742,littlefield,0.5837140616941278, Below 1%,Texas,4827750,LITTLEFIELD ISD,Lamb County,1296
Greenville Area School District,38077,2020,60178885,19164160,3172144,10111,0,0,31765000,0,5838000,0,229470,528559,6983765,0,14465640,430195,21547769,0,0,0,21977964,greenville area,2.7381464907304425,1 - 5%,Pennsylvania,4211160,Greenville Area SD,Mercer County,1294
Fennville Public Schools,34332,2020,74660905,40981701,3345092,0,7000,0,24844132,0,5430848,0,52132,159944,4387808,0,14091706,-862912,19502370,0,0,0,18639458,fennville,4.005529828174188,1 - 5%,Michigan,2614230,Fennville Public Schools,Allegan County,1292
Marion Center Area School District,38007,2020,44808770,0,3533888,0,0,0,35087000,0,6003000,0,184882,195569,7645179,32503,17929929,553994,25249186,0,0,0,25803180,marion center area,1.7365599898927186,1 - 5%,Pennsylvania,4214730,Marion Center Area SD,Indiana County,1292
Schley County Board of Education,197777,2020,23866839,1079390,1833652,63271,0,0,12164295,0,8726231,0,0,736294,9358720,128098,4775137,661774,14336475,0,0,0,14998249,schley,1.5913083587290757,1 - 5%,Georgia,1304470,Schley County,Schley County,1291
Brooklyn City School District,37052,2020,53579157,29826222,1950911,81893,427824,0,17300531,0,1315625,1066289,2676151,298555,2205393,0,16929247,-1646500,21079695,0,0,0,19433195,brooklyn city,2.7570946002445815,1 - 5%,Ohio,3904365,Brooklyn City,Cuyahoga County,1290
Hillsborough City Elementary School District,146212,2020,130356451,87584932,769758,0,0,0,32576257,0,9160507,0,264997,75741,2514983,0,32706885,-5533250,40830859,0,0,0,35297609,hillsborough city elementary,3.6930674539456767,1 - 5%,California,0617190,Hillsborough City Elementary,San Mateo County,1290
Steelton-Highspire School District,37963,2020,59359266,19251885,7352498,0,0,0,28584000,0,1988289,0,233728,119535,8989776,0,16152433,-2054385,27316129,0,0,0,25261744,steelton-highspire,2.3497691212451524,1 - 5%,Pennsylvania,4222800,Steelton-Highspire SD,Dauphin County,1290
Regional School District 1,68354,2020,6009792,5862413,147379,0,0,0,0,0,0,0,0,15758543,5242962,11947,413684,421519,21005617,0,0,0,21427136,regional,0.28047574813544845, Below 1%,Connecticut,0903540,Regional School District 18,New London County,1288
Regional School District 18,68344,2020,26223460,22305828,914967,182847,0,0,0,0,2702813,0,0,457850,6499047,0,34233727,2986187,38204437,0,0,0,41190624,regional,0.6366366287628952, Below 1%,Connecticut,0903540,Regional School District 18,New London County,1288
Black Oak Mine Unified School District,145947,2020,19482583,5751202,440942,0,0,0,13260822,0,0,0,29617,204824,1468837,0,13623582,-903747,16200990,0,0,0,15297243,black oak mine unified,1.2736009358026148,1 - 5%,California,0605240,Black Oak Mine Unified,El Dorado County,1286
Jordan-Elbridge Central School District,36305,2020,72963635,21375134,1700560,0,0,0,2628535,1597737,46558318,0,291451,174583,2369717,100395,30823063,-5502150,38969908,0,0,0,33467758,jordan-elbridge central,2.1801172041461516,1 - 5%,New York,3615990,JORDAN-ELBRIDGE CENTRAL SCHOOL DISTRICT,Onondaga County,1286
Pamlico County Board of Education,36627,2020,25551142,0,530914,0,0,0,6548806,0,17482789,23952,804055,524307,14495997,161212,4652848,-66845,19901209,0,0,0,19834364,pamlico,1.2882259295029577,1 - 5%,North Carolina,3703510,Pamlico County Schools,Pamlico County,1285
Tarrant City Board of Education,30352,2020,23845095,515001,602214,0,0,0,11766000,0,4471296,0,0,917103,10232428,332858,3269455,189951,14561893,0,0,0,14751844,tarrant city,1.6164145309562656,1 - 5%,Alabama,0103270,Tarrant City,Jefferson County,1285
Chickamauga City Board of Education,197768,2020,202982556,0,19690295,0,0,0,10928964,0,7325858,0,0,1024958,8481051,22748,81126714,64362901,14337470,0,0,0,90655471,chickamauga city,2.2390546732695262,1 - 5%,Georgia,1301140,Chickamauga City,Walker County,1283
Mercer County School District 404,53936,2020,4144135,4101300,0,42835,0,0,0,0,0,0,0,0,0,0,20788573,559187,20229386,0,0,0,20788573,mercer,0.19934677575031245, Below 1%,Illinois,1701395,Mercer County School District 404,Mercer County,1283
Tuslaw Local School District,65016,2020,29062644,9030183,1989274,2068000,0,0,13419950,0,1319293,773717,1235944,1611374,1487072,0,13179267,-1012669,17290382,0,0,0,16277713,tuslaw local,1.7854255078707923,1 - 5%,Ohio,3904995,Tuslaw Local,Stark County,1282
Lowndes County Board of Education,46010,2020,31145984,986578,1465533,0,0,0,17210000,0,7947713,0,0,1211044,16177456,567105,5372262,2802210,20525657,0,0,0,23327867,lowndes,1.335140671026631,1 - 5%,Alabama,0102160,Lowndes County,Lowndes County,1281
Lowndes County School District,167102,2020,184635,0,184635,0,0,0,0,0,0,0,0,0,0,0,1877665,0,1877665,0,0,0,1877665,lowndes,0.09833223711364913, Below 1%,Alabama,0102160,Lowndes County,Lowndes County,1281
Warsaw R-Ix School District,35174,2020,0,10255000,0,29491,0,0,0,0,0,0,0,235273,2857678,0,10943590,-899987,14936528,0,0,0,14036541,warsaw r-ix,0, Below 1%,Missouri,2931070,WARSAW R-IX,Benton County,1281
Manchester Local School District,51165,2020,16548863,2880746,1209768,0,0,245000,10663572,0,941809,635366,607968,699558,2968689,0,10859057,1746315,12780989,0,0,0,14527304,manchester local,1.139155826848533,1 - 5%,Ohio,3905000,Manchester Local,Summit County,1279
South Williamsport Area School District,42673,2020,38362500,0,2334682,0,0,1660000,28865000,0,5370063,0,0,213814,4620127,0,15264291,890664,19207568,0,0,0,20098232,south williamsport area,1.9087499835806454,1 - 5%,Pennsylvania,4222140,South Williamsport Area SD,Lycoming County,1279
Freedom Area School District,37867,2020,50924266,10434360,2928006,106366,0,0,31999000,0,5311924,0,144610,195773,5452957,0,18572077,-763263,24984070,0,0,0,24220807,freedom area,2.102500796113028,1 - 5%,Pennsylvania,4210380,Freedom Area SD,Beaver County,1278
Webster County Board of Education,59278,2020,2582214,0,1122187,85386,0,0,527260,0,844971,0,2410,33429,3739662,55726,11478853,511993,14795677,0,0,0,15307670,webster,0.16868759255980825, Below 1%,West Virginia,5401530,WEBSTER COUNTY SCHOOLS,Webster County,1276
Bracken County Board of Education,33627,2020,13288324,5850000,293057,0,0,0,3654440,0,3363742,0,127085,132932,2749797,21845,11696208,559311,14041471,0,0,0,14600782,bracken,0.9101104310714316, Below 1%,Kentucky,2100660,Bracken County,Bracken County,1275
Coxsackie-Athens Central School District,45218,2020,74227393,17175291,1935928,0,0,0,1947958,1863155,51752319,0,1415897,182305,1705230,739216,30735798,-2104511,35467060,0,0,0,33362549,coxsackie-athens central,2.2248717566514475,1 - 5%,New York,3608490,COXSACKIE-ATHENS CENTRAL SCHOOL DISTRICT,Greene County,1275
Liberty Local School District,37277,2020,25060166,3203236,1826633,62751,0,2098774,15407067,0,1502649,891613,959056,2177413,2607858,18325,15034283,-194215,20032094,0,0,0,19837879,liberty local,1.2632482535053269,1 - 5%,Ohio,3905019,Liberty Local,Trumbull County,1275
Arcadia School District,94037,2020,19711321,12983331,1802725,0,0,4186613,0,1720124,652622,0,86030,358901,1945835,0,20512389,2995854,19821271,0,0,0,22817125,arcadia,0.8638827634945244, Below 1%,Wisconsin,5500420,Arcadia School District,Trempealeau County,1274
Canton Central School District,47603,2020,143189779,19025681,966262,0,0,980654,2577268,1338950,119281596,0,358318,196089,1654052,0,29695699,-3479330,35025170,0,0,0,31545840,canton central,4.539101795989582,1 - 5%,New York,3606470,CANTON CENTRAL SCHOOL DISTRICT,St. Lawrence County,1274
Pleasant Ridge Union Elementary School District,146515,2020,14079671,0,893622,1518997,0,0,11301530,0,0,0,97155,256409,1444306,0,12233839,99625,13834929,0,0,0,13934554,pleasant ridge union elementary,1.0104141833315943,1 - 5%,California,0630930,Pleasant Ridge Union Elementary,Nevada County,1274
White Pine County School District,35536,2020,28200737,6888349,1658253,86269,0,0,15623824,0,3510475,0,433567,125000,6088602,741969,16027567,2808359,20174779,0,0,0,22983138,white pine,1.227018564653791,1 - 5%,Nevada,3200510,WHITE PINE COUNTY SCHOOL DISTRICT,White Pine County,1274
Sierra Unified School District,146650,2020,24110237,0,1644223,0,0,0,17904357,0,3878732,0,143534,0,2416023,0,15471111,-2160345,20047479,0,0,0,17887134,sierra unified,1.3479094526825819,1 - 5%,California,0636805,Sierra Unified,Fresno County,1273
Taconic Hills Central School District,36155,2020,124735298,15238673,539727,0,0,0,4357541,1800491,103069191,0,327315,201497,1958281,0,38186158,-4624868,44970804,0,0,0,40345936,taconic hills central,3.091644670233949,1 - 5%,New York,3628620,TACONIC HILLS CENTRAL SCHOOL DISTRICT,Columbia County,1273
Winfield City Board of Education,58092,2020,20182176,44517,909096,0,0,1578434,10652000,0,4775004,0,108125,777116,10780640,371408,3009186,1401501,13536849,0,0,0,14938350,winfield city,1.3510311379770858,1 - 5%,Alabama,0103540,Winfield City,Marion County,1272
Jefferson Independent School District,39088,2020,16777081,5873080,1572123,0,229792,0,3497289,0,5604797,0,0,342483,4124200,0,13468311,764073,17170921,0,0,0,17934994,jefferson,0.9354383391485941, Below 1%,Texas,4824730,JEFFERSON ISD,Marion County,1271
Shaker Regional School District,44186,2020,24946719,0,241851,1467364,0,0,17235761,0,4635423,0,33692,613336,1210985,0,21772206,136433,23460094,0,0,0,23596527,shaker regional,1.0572199459691674,1 - 5%,New Hampshire,3306180,Shaker Regional School District,Belknap County,1271
Winona-Montgomery Consolidated School District,66368,2020,22333741,1000000,94736,1920815,0,0,17967562,0,1247643,0,102985,286541,2878855,0,10326236,1276131,12215501,0,0,0,13491632,winona-montgomery consolidated,1.655377273853897,1 - 5%,Mississippi,2800196,WINONA-MONTGOMERY CONSOLIDATED,Montgomery County,1270
Springfield School District,39389,2020,18048332,12800000,2575811,0,0,0,2275253,0,0,0,163918,1665308,7168419,0,30800080,1583698,38050109,0,0,0,39633807,springfield,0.45537719856182374, Below 1%,Vermont,5007530,Springfield School District,Windsor County,1269
Geneva City Board of Education,30342,2020,26908234,10107203,1087520,0,0,167313,10886000,0,4660198,0,0,471289,10071195,872529,2479243,548256,13346000,0,0,0,13894256,geneva city,1.9366444666054807,1 - 5%,Alabama,0101640,Geneva City,Geneva County,1268
Heber Elementary School District,146205,2020,27977303,9094547,1210180,0,0,0,15360019,0,0,0,23094,2882,3674976,0,14539317,92807,18124368,0,0,0,18217175,heber elementary,1.535765177641429,1 - 5%,California,0616830,Heber Elementary,Imperial County,1268
Strafford R-VI School District,35220,2020,0,19550000,0,18104,0,0,0,0,0,0,428160,794220,1343731,0,12619031,-1333538,16090520,0,0,0,14756982,strafford r-vi,0, Below 1%,Missouri,2929640,STRAFFORD R-VI,Greene County,1268
Howe Independent School District,163659,2020,33111621,24557788,1516503,0,0,0,3031581,0,3810694,0,0,332243,2291316,0,15486740,1034358,17075941,0,0,0,18110299,howe,1.8283309955291185,1 - 5%,Texas,4823670,HOWE ISD,Grayson County,1267
Mantua Township School District,168069,2020,6835386,0,1276831,0,0,0,4697450,0,0,0,861105,613063,2251257,0,24583033,1402493,26044860,0,0,0,27447353,mantua township,0.2490362549714721, Below 1%,New Jersey,3409600,Mantua Township School District,Gloucester County,1266
Palmer Independent School District,47521,2020,27337363,16916048,817256,0,0,688000,3328974,0,4762085,0,0,506801,1963378,0,15052900,1349745,16173334,0,0,0,17523079,palmer,1.5600775982348765,1 - 5%,Texas,4834110,PALMER ISD,Ellis County,1266
Onteora Central School District,36449,2020,245855603,3218859,1554797,0,0,0,4020415,2937774,233319688,0,1568063,296009,1803074,0,54057159,-10022636,66178878,0,0,0,56156242,onteora central,4.378063670998498,1 - 5%,New York,3621840,ONTEORA CENTRAL SCHOOL DISTRICT,Ulster County,1265
Sto-Rox School District,37844,2020,51999208,10241612,8441772,171021,0,1492032,27415000,0,4065569,0,172202,75356,10713758,777671,20029552,898593,30697744,0,0,0,31596337,sto-rox,1.6457353268513373,1 - 5%,Pennsylvania,4222830,Sto-Rox SD,Allegheny County,1265
Menominee Area Public Schools,34540,2020,33058677,2155000,1229612,0,0,1200000,23248294,0,5083611,0,142160,212717,3676775,235113,11183008,489961,14817652,0,0,0,15307613,menominee area,2.1596232541285176,1 - 5%,Michigan,2623550,Menominee Area Public Schools,Menominee County,1261
East Clinton Local School District,37034,2020,37496320,17336262,1738503,0,0,0,16036477,0,1847748,879800,1856635,1197314,2913050,466275,24815778,10479498,18912919,0,0,0,29392417,east clinton local,1.275714072782786,1 - 5%,Ohio,3904640,East Clinton Local,Clinton County,1260
Idabel Public Schools,168383,2020,0,1925000,0,133000,0,0,0,0,0,0,0,0,0,0,13075402,130980,12944422,0,0,0,13075402,idabel,0, Below 1%,Oklahoma,4015370,IDABEL,McCurtain County,1258
Hatch Valley Public Schools,35935,2020,29741649,4412773,1102252,0,0,0,18815200,0,5316545,0,94879,75644,4732500,328439,12681965,9330161,8488387,0,0,0,17818548,hatch valley,1.669139876043772,1 - 5%,New Mexico,3501230,HATCH VALLEY PUBLIC SCHOOLS,Do̱a Ana County,1254
Stigler Public Schools,37408,2020,543233,0,394358,148875,0,0,0,0,0,0,0,0,0,0,10964562,310080,10654482,0,0,0,10964562,stigler,0.04954443232661733, Below 1%,Oklahoma,4028650,STIGLER,Haskell County,1253
Seneca Falls Central School District,47485,2020,49306841,17615131,1427133,0,0,0,1833129,1334992,27344815,0,1086633,208652,1491531,0,29753282,500611,30952854,0,0,0,31453465,seneca falls central,1.5676123759337803,1 - 5%,New York,3626430,SENECA FALLS CENTRAL SCHOOL DISTRICT,Seneca County,1252
Montrose Area School District,38141,2020,55634071,3230000,3331058,0,0,0,37894000,0,8689691,0,2339071,157708,6876077,0,20592926,1445464,26181247,0,0,0,27626711,montrose area,2.013778295939752,1 - 5%,Pennsylvania,4215810,Montrose Area SD,Susquehanna County,1249
Bellwood-Antis School District,37890,2020,42967144,13565000,2580786,0,0,0,23643968,0,2641316,0,536074,364185,3573708,0,15911848,-84673,19934414,0,0,0,19849741,bellwood-antis,2.1646198809344668,1 - 5%,Pennsylvania,4203300,Bellwood-Antis SD,Blair County,1247
Elkhart Independent School District,38785,2020,21458477,14126364,575643,0,323000,0,2461658,0,3971812,0,0,397780,2534008,0,13437758,711246,15658300,0,0,0,16369546,elkhart,1.310877955931093,1 - 5%,Texas,4818390,ELKHART ISD,Anderson County,1247
Shelby Public Schools,34597,2020,41251144,3574892,1801898,0,0,0,28518360,0,6252595,0,581037,107536,6128683,0,10724878,-1377297,18338394,0,0,0,16961097,shelby,2.4321035366993065,1 - 5%,Michigan,2631320,Shelby Public Schools,Oceana County,1246
Newport School District,44534,2020,945568,15450000,945568,0,602919,0,9132671,0,0,0,0,0,0,0,27897287,4875345,23021942,0,0,0,27897287,newport,0.033894622082785326, Below 1%,Arkansas,0500023,NEWPORT SCHOOL DISTRICT,Jackson County,1245
School City of Whiting,46944,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17705577,2011923,15693654,0,0,0,17705577,school city of whiting,0, Below 1%,Indiana,1813200,School City of Whiting,Lake County,1245
Adena Local School District,37234,2020,16760091,402581,1278497,709467,0,0,12351222,0,1245379,0,772945,979636,2052545,0,12259706,491417,14800470,0,0,0,15291887,adena local,1.0960119571901101,1 - 5%,Ohio,3904949,Adena Local,Ross County,1244
Elmwood Local School District,65235,2020,0,980000,0,0,0,0,16012533,0,1632071,0,0,1277004,1869536,0,16284771,1260708,18170603,0,0,0,19431311,elmwood local,0, Below 1%,Ohio,3905068,Elmwood Local,Wood County,1243
Franklin Independent School District,39154,2020,10880646,1794599,908534,13143,0,0,3286676,0,4877694,0,0,894423,2855335,0,22735541,-701886,27187185,0,0,0,26485299,franklin,0.41081831849434663, Below 1%,Texas,4819740,FRANKLIN ISD,Robertson County,1243
Choctaw County Board of Education,44455,2020,29106043,501626,1349596,1001757,0,0,12674000,0,5703218,0,0,1004118,10371792,339214,5986953,1846499,15855577,0,0,0,17702077,choctaw,1.6442162690852604,1 - 5%,Alabama,0100690,Choctaw County,Choctaw County,1242
Deer Park Community City School District,47540,2020,50678851,25016471,1536582,0,0,0,18011561,0,2034684,992388,842840,505634,1793513,0,15503155,-3649711,21452013,0,0,0,17802302,deer park community city,2.8467583012578936,1 - 5%,Ohio,3904385,Deer Park Community City,Hamilton County,1238
Everett Area School District,37875,2020,56472431,27090000,3078148,0,0,0,23906000,0,2265000,0,133283,533602,7005179,380080,15183930,2547655,20555136,0,0,0,23102791,everett area,2.444398644302327,1 - 5%,Pennsylvania,4209360,Everett Area SD,Bedford County,1237
New Boston Independent School District,38830,2020,28124077,13696092,1603882,0,0,2420519,4323169,0,6061035,0,19380,430027,5808257,0,14811005,1008279,20041010,0,0,0,21049289,new boston,1.3361057943572345,1 - 5%,Texas,4832340,NEW BOSTON ISD,Bowie County,1237
Port Townsend School District,39631,2020,131079,33190000,131079,0,0,0,5118132,0,0,0,460510,0,0,0,22957414,602758,22354656,0,0,0,22957414,port townsend,0.005709658762088796, Below 1%,Washington,5306840,Port Townsend School District,Jefferson County,1237
Tyler County Board of Education,39810,2020,16058425,0,2287585,10291280,0,0,1413801,0,1890137,0,175622,890340,1425395,580417,26208546,4852521,24252177,0,0,0,29104698,tyler,0.5517468348237112, Below 1%,West Virginia,5401440,TYLER COUNTY SCHOOLS,Tyler County,1237
Paradise Independent School District,163844,2020,19452044,10629733,630933,0,0,205677,3236744,0,4748957,0,0,442552,1963694,0,13205972,1236729,14375489,0,0,0,15612218,paradise,1.2459500629571019,1 - 5%,Texas,4834260,PARADISE ISD,Wise County,1236
Washington County Board of Education,36679,2020,22559769,0,493001,165644,0,0,5860441,0,14952901,21152,944430,274203,14777837,0,3743345,623230,18172155,0,0,0,18795385,washington,1.2002823565465672,1 - 5%,North Carolina,3704800,Washington County Schools,Washington County,1235
Wilkinson County Board of Education,197178,2020,42979895,16500000,1952296,0,0,0,13469293,0,11058307,0,0,108348,9384258,895308,7872995,760286,17500623,0,0,0,18260909,wilkinson,2.353655833890854,1 - 5%,Georgia,1305790,Wilkinson County,Wilkinson County,1235
Wolfe County Board of Education,33750,2020,18101388,8050000,472068,662372,0,0,4645185,0,4081612,0,190151,60647,4123790,81414,13510798,78213,17698436,0,0,0,17776649,wolfe,1.018267728636595,1 - 5%,Kentucky,2105970,Wolfe County,Wolfe County,1234
Zuni Public Schools,47980,2020,40720637,5155000,621239,0,0,0,27126743,0,7660143,0,157512,465365,16710965,894779,16384029,13173726,21281412,0,0,0,34455138,zuni,1.1818451285843057,1 - 5%,New Mexico,3502800,ZUNI PUBLIC SCHOOLS,McKinley County,1234
Dimmitt Independent School District,42526,2020,46376516,33975654,1893320,0,0,0,4380675,0,6126867,0,0,305294,4036741,0,15217619,-1575439,21135093,0,0,0,19559654,dimmitt,2.3710294670856653,1 - 5%,Texas,4817160,DIMMITT ISD,Castro County,1233
Raymond School District,35591,2020,22858305,3514639,1075123,0,0,0,15771417,0,1951418,0,545708,355095,1520572,310510,23861653,1127468,24920362,0,0,0,26047830,raymond,0.8775512201976133, Below 1%,New Hampshire,3305880,Raymond School District,Rockingham County,1233
Wall Independent School District,39210,2020,29449101,18776195,701995,0,1000000,0,3223719,0,5747192,0,0,370592,5114532,0,12794351,149468,18130007,0,0,0,18279475,wall,1.6110474179373313,1 - 5%,Texas,4844410,WALL ISD,Tom Green County,1233
Riverview School District,46045,2020,19489781,7880000,35734,84039,0,625386,10864622,0,0,0,0,0,0,0,14135622,98818,14036804,0,0,0,14135622,riverview,1.3787706688817796,1 - 5%,Arkansas,0508400,RIVERVIEW SCHOOL DISTRICT,White County,1232
Bucyrus City School District,37046,2020,30959148,10265058,1479665,0,0,0,16520975,0,1679885,927039,1013565,951478,3736122,0,17209940,1148366,20749174,0,0,0,21897540,bucyrus city,1.4138185385207653,1 - 5%,Ohio,3904368,Bucyrus City,Crawford County,1230
Paulsboro Board of Education,35793,2020,9638644,2557000,1298914,274460,0,0,4715548,0,0,0,792722,1396869,6450274,0,21483959,1943788,27387314,0,0,0,29331102,paulsboro,0.3286151335193611, Below 1%,New Jersey,3412720,Paulsboro School District,Gloucester County,1229
Garaway Local School District,37283,2020,16827126,0,1694705,0,0,0,12964023,0,1261896,737275,906502,1792612,1749640,0,12677738,1609933,14610057,0,0,0,16219990,garaway local,1.0374313424360928,1 - 5%,Ohio,3905027,Garaway Local,Tuscarawas County,1228
Quaboag Regional School District,43427,2020,27610897,615000,1311575,64047,0,431227,5331865,0,18815128,0,1042055,160150,6730811,0,17271334,-2433843,26596138,0,0,0,24162295,quaboag regional,1.1427265911619737,1 - 5%,Massachusetts,2512100,Quaboag Regional,Worcester County,1228
Dooly County Board of Education,197769,2020,26728945,2895000,1427906,0,0,0,11604149,0,9922889,0,0,154734,9925919,-236341,6953651,-27069,16825033,0,0,0,16797964,dooly,1.5912014694161745,1 - 5%,Georgia,1301800,Dooly County,Dooly County,1225
Iroquois School District,49321,2020,55988606,23217198,3699612,0,0,0,26105000,0,2591926,0,374870,550523,14881837,0,6854604,-1135431,23422395,0,0,0,22286964,iroquois,2.5121683689173637,1 - 5%,Pennsylvania,4212210,Iroquois SD,Erie County,1225
