"","name","government_ID","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","geo_id","city_town","state.name","population","state.abb","original_name","CITY","COUNTY_AREA_NAME"
"33","Arlington","44222000100000","General Purpose",2015112000,1553649000,55342000,0,0,0,140590000,275000,125761000,65000,39544000,242282000,21193000,383856000,341376000,390098000,598609000,0,0,0,988707000,FALSE,"1600000US4804000","Arlington city","Texas",394266,"TX","CITY OF ARLINGTON","ARLINGTON","TARRANT"
"34","Tampa","10202900300000","General Purpose",1547995667,869169867,109988927,4070236,21039909,77068900,201706974,0,135123704,0,66834663,459692931,75115064,68947462,388609604,69614792,922750269,0,0,0,992365061,FALSE,"1600000US1271000","Tampa city","Florida",384959,"FL","CITY OF TAMPA","TAMPA","HILLSBOROUGH"
"35","Cleveland","36201801400000","General Purpose",4080064000,2148742000,410745000,0,73441000,0,893120000,0,344486000,0,0,730020000,143682000,100862000,591664000,24162000,1542066000,0,0,0,1566228000,FALSE,"1600000US3916000","Cleveland city","Ohio",372624,"OH","CITY OF CLEVELAND","CLEVELAND","CUYAHOGA"
"36","Lexington","18203400100000","General Purpose",1657659630,507519748,67180356,0,0,138805178,550547759,21929685,347164567,0,31093507,191102698,34183724,9710448,377172849,-36282202,648451921,0,0,0,612169719,FALSE,"1600000US2146027","Lexington-Fayette urban county","Kentucky",322570,"KY","URBAN COUNTY GOVERNMENT OF LEXINGTON-FAYETTE","LEXINGTON","FAYETTE"
"37","Corpus Christi","44217800300000","General Purpose",1928720995,1505667321,87504254,17670831,0,8842000,227467000,0,9212565,0,37242980,344338910,23391698,19483314,280200099,181679351,485734670,0,4609185,0,667414021,FALSE,"1600000US4817000","Corpus Christi city","Texas",317863,"TX","CITY OF CORPUS CHRISTI","CORPUS CHRISTI","NUECES"
"38","Henderson","29200200100000","General Purpose",1048710549,407774280,67676930,138808,873366,0,411959319,0,85625605,0,50511244,203985025,9272182,70317020,303048034,13099554,573522707,0,0,0,586622261,FALSE,"1600000US3231900","Henderson city","Nevada",317610,"NV","CITY OF HENDERSON","HENDERSON","CLARK"
"39","Cincinnati","36203100600000","General Purpose",3389782000,1238677000,125427000,23751000,56304000,60551000,1498856000,0,211704000,0,142610000,365692000,62975000,31378000,641234000,-331352000,1432631000,174786000,20026000,10021000,1101279000,FALSE,"1600000US3915000","Cincinnati city","Ohio",309317,"OH","CITY OF CINCINNATI","CINCINNATI","HAMILTON"
"40","Orlando","10204800900000","General Purpose",2034575660,756004787,318979012,0,223265085,0,289467567,0,350601860,0,48675638,380862017,31949000,136229691,530284699,173750520,905574887,106031788,11127577,11721956,1079325407,FALSE,"1600000US1253000","Orlando city","Florida",307573,"FL","CITY OF ORLANDO","ORLANDO","ORANGE"
"41","Pittsburgh","39200205600000","General Purpose",1836357586,458594820,62813200,7422843,0,0,776368485,0,402893514,0,5917299,50740501,65485704,36568346,454424258,25174741,582044068,0,0,0,607218809,FALSE,"1600000US4261000","Pittsburgh city","Pennsylvania",302971,"PA","CITY OF PITTSBURGH","PITTSBURGH","ALLEGHENY"
"42","St. Louis","26209600100000","General Purpose",1612216,0,1612216,0,0,0,0,0,0,0,0,0,112483,0,7059009,0,7171492,0,0,0,7171492,FALSE,"1600000US2965000","St. Louis city","Missouri",301578,"MO","CITY OF ST LOUIS","SAINT LOUIS","ST LOUIS CITY"
"43","Greensboro","34204100200000","General Purpose",1170826645,780043435,99244554,15695250,1744000,2580810,90709688,0,131940179,0,17117085,216724918,28078983,68497092,300059181,72052334,541307840,122357533,2245545,3856656,613360174,FALSE,"1600000US3728000","Greensboro city","North Carolina",299035,"NC","CITY OF GREENSBORO","GREENSBORO","GUILFORD"
"44","Jersey City","31200900600000","General Purpose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"1600000US3436000","Jersey City city","New Jersey",292449,"NJ","CITY OF JERSEY CITY","JERSEY CITY","HUDSON"
"45","Lincoln","28205500700000","General Purpose",1682625102,1192046136,173650869,30997000,0,65500000,75894676,0,20079000,0,31729000,507542785,74705078,46079313,250538595,114909330,763956441,0,0,0,878865771,FALSE,"1600000US3128000","Lincoln city","Nebraska",291082,"NE","CITY OF LINCOLN","LINCOLN","LANCASTER"
"46","Plano","44204300900000","General Purpose",747692669,537963438,66533729,0,0,0,74014899,0,12327491,0,48803200,241447378,38930198,16493053,352664739,50403734,599131634,169258210,2400853,0,649535368,FALSE,"1600000US4858016","Plano city","Texas",285494,"TX","CITY OF PLANO","PLANO","COLLIN"
"47","Durham","34203200100000","General Purpose",1029720774,653400039,63244220,0,28255000,0,84911103,0,155600034,0,30680043,172790962,31966773,61741273,290446236,72094843,484850401,0,0,0,556945244,FALSE,"1600000US3719000","Durham city","North Carolina",283506,"NC","CITY OF DURHAM","DURHAM","DURHAM"
