ncesid,nces_original_name,county_nces,city_nces,state,student
2742360,WHITE BEAR LAKE SCHOOL DISTRICT,Ramsey County,WHITE BEAR LAKE,MN,8889.00000
2636060,White Cloud Public Schools,Newaygo County,White Cloud,MI,950.00000
0504170,WHITE CO. CENTRAL SCHOOL DIST.,White County,JUDSONIA,AR,848.00000
1305670,White County,White County,Cleveland,GA,3855.00000
4704500,White County,White County,Sparta,TN,3947.00000
4845450,WHITE DEER ISD,Carson County,WHITE DEER,TX,363.00000
0514140,WHITE HALL SCHOOL DISTRICT,Jefferson County,WHITE HALL,AR,2970.00000
5516590,White Lake School District,Langlade County,White Lake,WI,149.00000
4678510,White Lake School District 01-3,Aurora County,White Lake,SD,136.00000
3307050,White Mountain Regional School District,Coos County,Whitefield,NH,1057.00000
4032610,WHITE OAK,Craig County,Vinita,OK,32.00000
4845480,WHITE OAK ISD,Gregg County,WHITE OAK,TX,1501.00000
5309750,White Pass School District,Lewis County,RANDLE,WA,408.00000
2636120,White Pigeon Community Schools,St. Joseph County,WHITE PIGEON,MI,776.00000
3200510,WHITE PINE COUNTY SCHOOL DISTRICT,White Pine County,ELY,NV,1274.00000
3631260,WHITE PLAINS CITY SCHOOL DISTRICT,Westchester County,WHITE PLAINS,NY,7155.00000
5309780,White River School District,Pierce County,BUCKLEY,WA,4165.00000
4678570,White River School District 47-1,Mellette County,White River,SD,403.00000
5000426,White River Unified School District,Windsor County,Royalton,VT,634.00000
1800008,White River Valley School District,Greene County,Switz City,IN,787.00000
4032640,WHITE ROCK,Lincoln County,McLoud,OK,97.00000
5309810,White Salmon Valley School District,Klickitat County,WHITE SALMON,WA,1289.00000
4845540,WHITE SETTLEMENT ISD,Tarrant County,WHITE SETTLEMENT,TX,6979.00000
3819680,WHITE SHIELD 85,McLean County,Roseglen,ND,145.00000
5900117,White Shield School,McLean County,Roseglen,ND,138.00000
3028770,White Sulphur Spgs K-12,Meagher County,White Sulphur Springs,MT,212.00000
3417910,White Township Consolidated School District,Warren County,Belvidere,NJ,278.00000
4032670,WHITEBEAD,Garvin County,Pauls Valley,OK,396.00000
4845570,WHITEFACE CISD,Cochran County,WHITEFACE,TX,318.00000
4032700,WHITEFIELD,Haskell County,Whitefield,OK,195.00000
5516620,Whitefish Bay School District,Milwaukee County,Whitefish Bay,WI,3018.00000
3027740,Whitefish Elem,Flathead County,Whitefish,MT,1347.00000
3027790,Whitefish H S,Flathead County,Whitefish,MT,579.00000
2636240,Whitefish Township Schools,Chippewa County,PARADISE,MI,52.00000
2636270,Whiteford Agricultural School District of the Counties of Le,Monroe County,Ottawa Lake,MI,756.00000
3631290,WHITEHALL CENTRAL SCHOOL DISTRICT,Washington County,WHITEHALL,NY,740.00000
3904507,Whitehall City,Franklin County,Whitehall,OH,3492.00000
2636300,Whitehall District Schools,Muskegon County,WHITEHALL,MI,2043.00000
3027810,Whitehall Elem,Jefferson County,Whitehall,MT,309.00000
3027840,Whitehall H S,Jefferson County,Whitehall,MT,132.00000
5516650,Whitehall School District,Trempealeau County,Whitehall,WI,771.00000
4226250,Whitehall-Coplay SD,Lehigh County,Whitehall,PA,4386.00000
4845600,WHITEHOUSE ISD,Smith County,WHITEHOUSE,TX,4936.00000
1600010,WHITEPINE JOINT SCHOOL DISTRICT,Latah County,DEARY,ID,236.00000
0409160,Whiteriver Unified District (4394),Navajo County,WHITERIVER,AZ,2344.00000
4032730,WHITESBORO,Le Flore County,Whitesboro,OK,196.00000
